day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.79,17,0,21.85
2,1,1981,26.29,17.05,0,21.91
3,1,1981,27.52,16.79,0,23.08
4,1,1981,25.99,17.56,9.75,20.59
5,1,1981,27.47,17.02,0,21.83
6,1,1981,26.08,17.01,0,19.05
7,1,1981,25.96,16.29,0,21.78
8,1,1981,27.49,17.21,0,22.34
9,1,1981,27.73,15.08,0,24.84
10,1,1981,27.5,14.64,0.09,24.03
11,1,1981,27.06,15.92,0,23.07
12,1,1981,26.98,17.86,0,21.14
13,1,1981,27.27,17.17,0,22.4
14,1,1981,27.07,17.46,0,18.9
15,1,1981,27.34,16.69,0,19.66
16,1,1981,26.64,15.81,0,19.52
17,1,1981,27.17,15.85,0,22.9
18,1,1981,27.11,17.16,0,21.87
19,1,1981,27.46,17.02,0,21.65
20,1,1981,28.42,16.32,0,23.98
21,1,1981,27.82,17.19,0,22.94
22,1,1981,26.87,17.86,0,20.88
23,1,1981,27.3,17.79,0,21.71
24,1,1981,27.6,17.19,0,22.35
25,1,1981,29.15,16.43,0,25.3
26,1,1981,28.56,16.44,0,23.79
27,1,1981,28.82,18.23,0,24.47
28,1,1981,29.53,17.3,0,26.16
29,1,1981,28.26,18.25,0,23.62
30,1,1981,26.06,17.24,0,19.91
31,1,1981,28.71,16.32,0,24.28
1,2,1981,28.59,15.29,0,25.99
2,2,1981,28.66,14.88,0,25.74
3,2,1981,29.32,14.52,0,26.33
4,2,1981,28.62,15.41,0,23.87
5,2,1981,28.81,15.51,0,24.93
6,2,1981,29.29,15.62,0,25.74
7,2,1981,28.83,16.59,0,24.47
8,2,1981,28.81,17.95,0,24.33
9,2,1981,28.15,17.83,0,22.78
10,2,1981,28.27,18.08,0,23.23
11,2,1981,27.34,19.55,13.33,21.6
12,2,1981,26.72,17.25,0,21.35
13,2,1981,26.17,16.19,0,20.43
14,2,1981,26.3,16.12,4.28,21.49
15,2,1981,26.86,16.55,0,21.93
16,2,1981,22.69,16.44,0.21,15.14
17,2,1981,25.33,15.74,0,21.41
18,2,1981,26.34,16.7,7.27,21.04
19,2,1981,26.82,16.46,0.23,22.45
20,2,1981,27.45,18.12,0,23.72
21,2,1981,27.85,18.2,0,24.77
22,2,1981,28.27,16.7,0,24.1
23,2,1981,29.08,17.15,0,26.03
24,2,1981,28.54,17.83,4.85,25.05
25,2,1981,28.74,18.1,0,24.88
26,2,1981,28.55,18.27,0,23.77
27,2,1981,27.57,18.23,0,23.66
28,2,1981,28.7,18.22,0,23.56
1,3,1981,28.41,17.72,0,24.04
2,3,1981,27.97,17.41,0,22.09
3,3,1981,27.81,17.79,0,21.77
4,3,1981,27.04,17.94,0.54,21.33
5,3,1981,26.28,16.97,0,20.85
6,3,1981,26.3,16.86,3.06,21.96
7,3,1981,27.43,17.07,0,21.95
8,3,1981,28.82,15.99,0,27.4
9,3,1981,28.35,16.31,0,24.36
10,3,1981,27.22,17.04,0,22.7
11,3,1981,26.81,17.03,0.16,21.97
12,3,1981,27.38,17.02,0,22.17
13,3,1981,26.05,16.81,0,20.51
14,3,1981,26.38,16.87,5.59,20.9
15,3,1981,25.86,17.24,0,19.09
16,3,1981,24.9,17.66,0.75,16.65
17,3,1981,25.74,17.57,3.86,22.13
18,3,1981,25.85,17.05,0,20.12
19,3,1981,25.33,16.88,10.13,18.55
20,3,1981,24.8,16.98,6.95,19.2
21,3,1981,23.98,16.84,5.62,16.94
22,3,1981,26.35,16.57,18.96,19.77
23,3,1981,23.25,16.52,11.74,16.01
24,3,1981,24.53,16.55,12.94,19.78
25,3,1981,21.87,16.88,7.49,10.58
26,3,1981,25.87,16.35,1.05,18.54
27,3,1981,24,17.44,9.43,17.42
28,3,1981,25.39,16.72,7.47,21.16
29,3,1981,26.02,16.88,0,21.16
30,3,1981,26.06,16.28,4.75,19.43
31,3,1981,24.69,16.72,21.94,19.1
1,4,1981,23.81,17.14,0,16.87
2,4,1981,24.37,16.55,24.15,19.89
3,4,1981,26.46,16.61,0,21.5
