day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.75,13.73,0,22.28
2,1,1981,23.59,13.96,0,21.53
3,1,1981,23.8,13.71,0,20.8
4,1,1981,22.72,13.69,5.83,18.43
5,1,1981,23.56,13.79,1.54,20.38
6,1,1981,22.25,13.93,5.29,18.12
7,1,1981,23.1,13.72,0,20.02
8,1,1981,23.51,13.82,0,21.56
9,1,1981,23.84,13.83,0,22.85
10,1,1981,23.95,13.73,0,23.33
11,1,1981,24.13,13.64,0,23
12,1,1981,23.4,13.85,0,20.68
13,1,1981,24.02,14.15,0,22.09
14,1,1981,23.8,13.99,0,18.94
15,1,1981,24.13,13.78,0,19.81
16,1,1981,23.21,14.01,0,19.44
17,1,1981,23.44,13.94,0,20.6
18,1,1981,23.84,13.72,0,21.78
19,1,1981,24.1,13.88,0,20.99
20,1,1981,24.8,13.82,0,24.15
21,1,1981,24.03,13.65,0,22.66
22,1,1981,23.61,14.28,0,20.77
23,1,1981,23.35,14.12,0,20.21
24,1,1981,23.59,13.92,0,20.84
25,1,1981,24.69,13.96,0,24.01
26,1,1981,24.41,14.04,0,22.37
27,1,1981,24.15,13.87,0,22.29
28,1,1981,24.74,13.77,0,24.7
29,1,1981,24.07,13.79,0,21.68
30,1,1981,22.54,14.06,0,19.34
31,1,1981,24.13,13.74,0,23.38
1,2,1981,24.14,13.95,0,24.55
2,2,1981,23.9,13.73,0,23.92
3,2,1981,24.6,14.22,0,25.48
4,2,1981,24.24,13.7,0,23.17
5,2,1981,24.66,13.8,0,24.3
6,2,1981,24.84,13.75,0,25.01
7,2,1981,24.44,13.85,0,24.05
8,2,1981,24.56,13.72,0,22.92
9,2,1981,24.4,14.09,0,22.07
10,2,1981,23.85,14.22,0,21.93
11,2,1981,23.66,14.12,0,19.95
12,2,1981,22.77,13.97,0,20.2
13,2,1981,23.02,14.14,0,19.18
14,2,1981,23.63,14.28,6.72,21.31
15,2,1981,23.43,13.96,19.98,19.43
16,2,1981,20.4,14.1,8.58,14.62
17,2,1981,22.83,13.75,0.7,20.4
18,2,1981,22.82,14.24,10.06,19.83
19,2,1981,22.58,14.09,0,18.87
20,2,1981,23.12,14.14,0,21.43
21,2,1981,24.1,14.04,0,22.48
22,2,1981,24.37,14.16,0,23.68
23,2,1981,24.77,14.39,0,23.22
24,2,1981,24.67,13.99,3.69,23.71
25,2,1981,24.95,14.19,0,23.65
26,2,1981,24.45,14.02,0,22.9
27,2,1981,23.7,14.18,0,21.68
28,2,1981,24.77,14.13,0.38,23.43
1,3,1981,24.65,14.25,0,23.74
2,3,1981,24.22,14.52,1.38,21.03
3,3,1981,23.46,14.5,4.94,18.98
4,3,1981,23.01,14.18,0,20.11
5,3,1981,22.96,14.2,0,21.3
6,3,1981,23.7,13.97,1.25,21.82
7,3,1981,23.14,14.39,0,20.86
8,3,1981,23.7,14.36,0,22.21
9,3,1981,24.57,14.25,0,24.09
10,3,1981,23.79,13.98,5.75,22.05
11,3,1981,23.03,14.31,0,20.78
12,3,1981,23.15,14.22,13.84,20.13
13,3,1981,22.14,13.98,0,18.73
14,3,1981,23.15,14.14,0,19.4
15,3,1981,22.3,14.17,0,18.66
16,3,1981,21.25,14.05,0.13,13.97
17,3,1981,22.57,14.26,2.72,19.38
18,3,1981,22.57,14.15,7.04,18.07
19,3,1981,21.75,14.01,7.04,16.85
20,3,1981,21.42,13.81,5.88,17.51
21,3,1981,21.06,13.84,7.78,14.94
22,3,1981,22.36,13.53,29.74,18.68
23,3,1981,20.14,13.82,18.87,13.95
24,3,1981,21.25,13.53,16.15,16.28
25,3,1981,18.27,13.67,20.45,7.79
26,3,1981,20.2,13.5,17.39,13.69
27,3,1981,20.02,13.79,18.83,14.84
28,3,1981,21.33,13.48,17.3,18.87
29,3,1981,20.6,13.8,9.39,16.81
30,3,1981,20.94,13.84,16.85,17.78
31,3,1981,21.08,13.52,30.48,16.86
1,4,1981,20.62,13.59,6.64,15.91
2,4,1981,21.1,13.5,8.41,17.86
3,4,1981,21.51,13.53,0,20.09
4,4,1981,22.07,13.61,7.57,22.82
5,4,1981,21.27,13.76,10.48,17.82
6,4,1981,21.3,13.8,7.39,18.89
7,4,1981,21.37,13.66,5.88,19.48
8,4,1981,21.73,13.7,0,20.18
9,4,1981,21.79,13.58,6.76,19.42
10,4,1981,21.88,13.78,8.86,20.2
11,4,1981,21.15,13.72,9.32,16.26
12,4,1981,21.08,13.73,15.02,15.24
13,4,1981,21.18,13.56,9.67,19.13
14,4,1981,21.63,13.73,13.63,17.97
15,4,1981,21.5,13.81,13.08,16.57
16,4,1981,22.19,13.47,11.79,19.8
17,4,1981,21.75,13.55,3.29,20.72
18,4,1981,21.46,13.59,8.6,20.28
19,4,1981,21.17,13.72,14.69,16.57
20,4,1981,20.85,13.74,12.15,15.83
