day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.63,16.77,0,21.23
2,1,1981,28.35,17.44,0,20.91
3,1,1981,29.17,17.52,0,21.56
4,1,1981,27.75,17.97,6.67,19.08
5,1,1981,29.23,18.08,0,20.28
6,1,1981,28.11,18.14,3.46,18.15
7,1,1981,27.87,17.47,0,20.33
8,1,1981,28.94,18,0,21.02
9,1,1981,29.51,16.76,0,23.24
10,1,1981,29.56,16.5,0.18,22.97
11,1,1981,29.49,16.86,0,22.14
12,1,1981,28.75,18.19,0,20.02
13,1,1981,29.28,18.52,0,21.47
14,1,1981,29.06,18.93,0,18.2
15,1,1981,29.21,17.89,0,19.31
16,1,1981,28.43,17.75,0,18.82
17,1,1981,29.01,16.96,0,21.38
18,1,1981,29.21,18.02,0,20.78
19,1,1981,29.28,18.09,0,20.41
20,1,1981,29.95,16.95,0,22.99
21,1,1981,29.38,17.67,0,21.94
22,1,1981,29.05,19.16,0,20.01
23,1,1981,28.94,18.78,0,20.54
24,1,1981,29.06,18.2,0,21.25
25,1,1981,30.42,17.42,0,23.81
26,1,1981,30.35,18.56,0,22.15
27,1,1981,29.84,18.26,0,22.6
28,1,1981,30.57,17.71,0,24.47
29,1,1981,29.94,17.71,0,22.09
30,1,1981,27.82,18.32,0,18.62
31,1,1981,29.61,17.76,0,23
1,2,1981,30.13,18.03,0,24.25
2,2,1981,30.52,16.73,0,23.95
3,2,1981,30.48,16.75,0,24.74
4,2,1981,30.03,16.56,0,22.45
5,2,1981,30.42,16.83,0,23.49
6,2,1981,30.91,16.8,0,24.25
7,2,1981,30.22,17.05,0,22.97
8,2,1981,30.2,17.53,0,22.54
9,2,1981,29.78,17.57,0,21.49
10,2,1981,30.06,18.45,0,22.08
11,2,1981,29.18,18.77,5.04,20.02
12,2,1981,28.54,19,0,20.26
13,2,1981,28.13,18.01,0,19.03
14,2,1981,28.2,17.73,4.49,20.49
15,2,1981,28.73,18.8,14.24,20.25
16,2,1981,23.34,17.88,5.45,14.21
17,2,1981,27.73,17.02,0,20.25
18,2,1981,27.59,17.61,8.51,19.78
