day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.02,14.9,0,22.47
2,1,1981,24.82,14.73,0,22.62
3,1,1981,25.67,14.51,0,23.57
4,1,1981,25.24,14.98,5.95,22.23
5,1,1981,25.69,15.17,0,23.51
6,1,1981,25.06,15.27,2.66,20.87
7,1,1981,25.14,14.55,0,23.22
8,1,1981,25.73,14.16,0,23.74
9,1,1981,25.33,14.21,0,24.67
10,1,1981,24.82,14.27,0.09,24.13
11,1,1981,25.51,15.14,0,23.31
12,1,1981,25.46,15.02,0,22.72
13,1,1981,25.35,15,0,23.03
14,1,1981,24.81,14.85,0,20.89
15,1,1981,24.77,14.56,0,20.26
16,1,1981,24.63,14.46,0,20.99
17,1,1981,25.25,14.7,0,23.68
18,1,1981,25.41,14.86,0,23.36
19,1,1981,25.46,14.79,0,23.02
20,1,1981,26.1,15.18,0,24.36
21,1,1981,25.72,14.6,0,23.28
22,1,1981,25.53,15.23,0,22.21
23,1,1981,25.63,15.46,0,22.25
24,1,1981,25.51,15.6,0,22.88
25,1,1981,26.5,15.39,0,25.39
26,1,1981,26.71,14.84,0,24.91
27,1,1981,26.37,15.46,0,25.17
28,1,1981,26.78,14.53,0,26.23
29,1,1981,25.72,14.5,0,24.29
30,1,1981,25.26,15.52,0,22.27
31,1,1981,25.79,14.62,0,24.17
1,2,1981,25.73,14.08,0,26.2
2,2,1981,25.49,14.26,0,25.73
3,2,1981,26.09,14.19,0,26.38
4,2,1981,25.87,14.41,0,24.61
5,2,1981,25.58,14.7,0,25.27
6,2,1981,26.15,15.03,0,25.7
7,2,1981,25.93,14.93,0,25.39
8,2,1981,26.11,14.93,0,25.24
9,2,1981,26.26,15.31,0,23.71
10,2,1981,25.94,16.19,0,23.12
11,2,1981,26.03,16.35,0,22.83
12,2,1981,25.37,15.21,0,22.33
13,2,1981,24.82,15.21,0,21.63
14,2,1981,25.35,15.36,18.45,22.52
15,2,1981,25.95,15.18,0,23.18
16,2,1981,23.21,14.92,0,17.93
17,2,1981,24.32,15.05,17.61,21.75
18,2,1981,24.67,14.85,0,22.14
19,2,1981,25.32,15.35,0,23.02
20,2,1981,25.89,16.03,0,23.51
21,2,1981,26.12,15.79,0,24.73
22,2,1981,26.37,15.84,0,24.35
23,2,1981,27.3,16.06,0,26.28
24,2,1981,26.95,16.15,4.74,24.92
25,2,1981,26.78,16,0,24.85
26,2,1981,26.57,16.38,0,24.68
27,2,1981,26.28,15.4,0,24.03
28,2,1981,26.94,16.58,0,24.88
1,3,1981,26.7,15.9,0,24.65
2,3,1981,26.37,16.17,0,23.11
3,3,1981,25.94,16.08,0,22.71
4,3,1981,25.64,15.38,0,21.85
5,3,1981,24.95,15.25,0,21.23
6,3,1981,24.89,14.97,3.7,21.93
7,3,1981,25.64,15.87,0,22.1
8,3,1981,26.66,15.19,0,26.97
9,3,1981,26.12,15.06,0,24.4
