day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,18.31,5.65,0,19.56
2,1,1981,17.82,6.71,0.1,21.43
3,1,1981,19.05,6.28,0,20.35
4,1,1981,19.35,7.02,9.23,19.03
5,1,1981,19.77,7.27,0,21.35
6,1,1981,18.57,6.7,0,18.54
7,1,1981,19.95,6.27,0,22.86
8,1,1981,19.4,6.11,0,23.76
9,1,1981,19.23,5.73,0,24.03
10,1,1981,18.98,4.97,0,21.83
11,1,1981,19.85,5.35,0,22.27
12,1,1981,18.9,6.16,0,21.22
13,1,1981,19.26,6.69,0,20.99
14,1,1981,18.58,6.28,0,18.25
15,1,1981,18.58,6.87,0,19.23
16,1,1981,18.93,5.94,0,21.03
17,1,1981,20.23,5.41,0,23.62
18,1,1981,19.89,6.06,0,22.6
19,1,1981,20.54,5.78,0,24.4
20,1,1981,20.01,5.93,0,24.43
21,1,1981,19.77,5.76,0,21.56
22,1,1981,19.72,6.85,0,20.14
23,1,1981,19.86,7.19,0,20.36
24,1,1981,20.34,6.67,0,24.09
25,1,1981,20.47,5.9,0,24.67
26,1,1981,20.28,6.32,0,24.83
27,1,1981,20.39,5.64,0,25.35
28,1,1981,20.6,6.12,0,25.69
29,1,1981,20.49,5.75,0,24.39
30,1,1981,18.51,7.08,0,19.52
31,1,1981,20.19,7.14,0,23.47
1,2,1981,19.23,5.05,0,25.78
2,2,1981,19.83,5.27,0,25.27
3,2,1981,20.27,5.46,0,25.89
4,2,1981,19.75,5.89,0,25.33
5,2,1981,19.61,6.28,0,24.81
6,2,1981,19.92,6.37,0,25.37
7,2,1981,20.09,5.64,0,25.82
8,2,1981,21.31,5.51,0,25.2
9,2,1981,19.41,6.39,0,20.78
10,2,1981,19.32,6.95,0,21.82
11,2,1981,19.73,7.72,0,19.56
12,2,1981,18.33,7.56,0,18.42
13,2,1981,18.06,8.48,0,17.01
14,2,1981,18.07,7.56,21.88,20.12
15,2,1981,18.52,8.04,0,20.41
16,2,1981,16.65,8.49,1.44,15.54
17,2,1981,18.14,7.41,1.46,18.95
18,2,1981,18.64,8.17,9.58,20.13
19,2,1981,18.07,7.8,0,19.66
20,2,1981,19.28,6.94,0,22.41
21,2,1981,19.65,6.67,0,24.69
22,2,1981,19.75,7.01,0,24.3
23,2,1981,20.45,6.89,0,25.91
24,2,1981,20.5,6.69,0.62,25.28
25,2,1981,20.51,7.15,5.37,25.22
26,2,1981,19.96,7.07,0,24.68
27,2,1981,19.75,6.71,3.48,24.09
28,2,1981,19.61,8.05,0,21.94
1,3,1981,19.24,8.17,0,22.38
2,3,1981,18.52,9.03,0,19.02
3,3,1981,18.92,8.54,0,19.36
4,3,1981,18.38,8.74,3.1,19.33
5,3,1981,18.52,8.16,0,17.45
6,3,1981,17.83,8.73,3.6,18.8
7,3,1981,19.01,8.04,0,21.69
8,3,1981,19.36,7.17,0,27.13
9,3,1981,19.29,7.64,0,22.54
10,3,1981,18.3,7.76,0,20.13
11,3,1981,16.67,8.98,6.65,15.41
12,3,1981,18.4,8.02,0,19.44
13,3,1981,17.71,9.05,0,20.66
14,3,1981,17.51,7.94,0,17.92
15,3,1981,17.6,9.01,0,17.7
16,3,1981,17.58,9.69,4.69,15.13
17,3,1981,18.64,8.78,6.14,19.79
18,3,1981,17.65,8.75,4.25,16.52
19,3,1981,17.14,9.1,9.99,15.21
20,3,1981,17.36,7.75,37.31,18.02
21,3,1981,17.07,8.67,52.57,16.95
22,3,1981,17.01,8.46,8.57,16.83
23,3,1981,16.73,7.72,8.85,14.54
24,3,1981,17.65,7.41,8.49,19.45
25,3,1981,15.54,9.27,6.38,10.23
26,3,1981,16.85,8.97,7.32,16.17
27,3,1981,17.38,8.97,0.96,15.57
28,3,1981,17.41,9.15,6.11,17.71
29,3,1981,18.79,8.88,0,19.86
30,3,1981,18.97,7.96,19.14,22.09
31,3,1981,17.42,9.56,19.1,17.51
1,4,1981,18.26,9.92,24.41,16.62
2,4,1981,16.98,9.79,0,16.58
3,4,1981,17.31,9.41,9.18,21.42
4,4,1981,18.61,7.47,5.65,22.77
5,4,1981,17.95,9.07,0,17.05
6,4,1981,17.81,7.47,7.57,18.51
7,4,1981,18.91,7.67,3.1,21.84
8,4,1981,18.19,8.52,10.56,22
9,4,1981,18.28,8.69,6.94,19.49
10,4,1981,17.69,9.19,10.91,17.31
11,4,1981,17.51,8.76,27.48,16.55
12,4,1981,17.74,9.71,34.38,15.76
13,4,1981,17.4,8.78,13.25,18.81
14,4,1981,18,9.13,7.25,17.94
15,4,1981,18.3,9.89,11.57,17.18
16,4,1981,18.61,10.34,1.73,19.29
17,4,1981,18.09,10.38,0,18.7
18,4,1981,16.4,10.33,29.22,13.67
19,4,1981,17,9.51,5.76,16.52
20,4,1981,16.67,10.45,26.16,15.29
21,4,1981,16.31,9.82,1.47,14.31
22,4,1981,17.04,9.38,31.24,16.29
23,4,1981,16.55,9.32,42.35,14.42
24,4,1981,17.76,8.24,23.72,18.99
25,4,1981,17.84,8.52,0,19.37
26,4,1981,16.67,8.79,5.89,18.64
27,4,1981,17.71,9.43,9.48,17.35
28,4,1981,17.68,8.27,1.13,21.05
29,4,1981,17.94,10.08,0,20.39
30,4,1981,18.59,8.74,1.23,23.32
1,5,1981,17.67,8.51,0,21.61
2,5,1981,17.31,10.05,0,19.73
3,5,1981,17.96,8.56,7.91,23.26
4,5,1981,17.93,8.93,0,21.21
5,5,1981,17.71,7.8,7.29,21.99
6,5,1981,17.66,9.15,0,21.98
7,5,1981,17.96,10.02,12.49,19.89
8,5,1981,17.93,9.38,11.05,20.57
9,5,1981,17.94,9.53,0,19.9
10,5,1981,16.67,10.04,0,15.6
11,5,1981,17.25,9.26,0,18.27
12,5,1981,16.85,10.29,17.9,13.45
13,5,1981,17.3,9.16,17.03,17.34
14,5,1981,17.37,9.73,10.65,20.08
15,5,1981,16.6,9.76,14.9,17.25
16,5,1981,18.29,9.97,6.66,20.46
17,5,1981,18.01,10.27,4.11,20.8
18,5,1981,17.64,10.15,3.07,19.2
19,5,1981,17.16,9.95,0.63,19.77
20,5,1981,16.99,10.48,0.64,18.41
21,5,1981,16.78,10.22,2.27,17.75
22,5,1981,16.71,10.22,0.2,18.28
23,5,1981,15.82,10.38,0,16.17
24,5,1981,16.31,10.05,22.17,15.46
25,5,1981,16.6,10.16,16.41,15.54
26,5,1981,17.29,9.48,0.16,19.45
27,5,1981,16.95,8.94,5.54,19.98
28,5,1981,17.49,9.3,5.68,19.69
29,5,1981,17.25,8.77,0,19.28
30,5,1981,17.46,9.96,11.58,17.33
31,5,1981,16.95,10.31,5.52,17.22
1,6,1981,16.35,10.33,0,15.76
2,6,1981,16.61,9.9,0,16.9
3,6,1981,15.84,9.66,0,14.61
4,6,1981,16.63,9.61,0.5,16.27
5,6,1981,15.08,9.78,7.25,11.5
6,6,1981,16.16,9.52,13.36,14.81
7,6,1981,15.75,9.89,0,11.58
8,6,1981,14.78,10.04,0,10.79
9,6,1981,14.64,10.09,0,10.98
10,6,1981,14.51,9.11,0,10.03
11,6,1981,16.31,9.11,0,16.73
