day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.07,13.35,0,21.1
2,1,1981,25.07,14.44,0,22.06
3,1,1981,26.08,14.37,0,21.91
4,1,1981,25.87,14.19,10.31,21.36
5,1,1981,26.49,14.02,0,22.59
6,1,1981,25.34,14.18,0,20.5
7,1,1981,25.69,12.73,0,23.08
8,1,1981,26.36,13.35,0,23.46
9,1,1981,26.54,12.85,0,23.55
10,1,1981,26,13.05,0,22.53
11,1,1981,25.99,13.67,0,22.56
12,1,1981,25.79,14.25,0,21.9
13,1,1981,25.84,14.87,0,21.6
14,1,1981,25.42,14.25,0,20.43
15,1,1981,25.79,14.6,0,20.49
16,1,1981,25.79,14,0,22.09
17,1,1981,26.69,13.57,0,23.26
18,1,1981,26.54,14.05,0,22.74
19,1,1981,26.73,14.25,0,23.85
20,1,1981,27.14,13.69,0,23.91
21,1,1981,25.87,14.13,0,22.01
22,1,1981,25.87,15.28,0,20.91
23,1,1981,25.78,15.36,0,20.49
24,1,1981,27.06,14.81,0,23.45
25,1,1981,28.04,14.44,0,24.37
26,1,1981,27.25,14.56,0,24.3
27,1,1981,27.67,14.15,0,24.72
28,1,1981,27.72,13.81,0,25.1
29,1,1981,26.59,13.83,0,23.77
30,1,1981,25.05,13.62,0,21.36
31,1,1981,26.01,12.63,0,23.2
1,2,1981,27.39,12.32,0,25.17
2,2,1981,26.71,12.98,0,24.55
3,2,1981,27.4,12.83,0,25.19
4,2,1981,27.46,13.33,0,24.58
5,2,1981,27.15,13.29,0,24.03
6,2,1981,27.84,13.85,0,24.43
7,2,1981,27.21,13.51,0,25.11
8,2,1981,26.46,13.8,0,24.48
9,2,1981,26.16,14.78,0,22.07
10,2,1981,26.29,16.36,0,22.43
11,2,1981,26.1,15.71,1.25,21.04
12,2,1981,25.58,14.82,2.22,20.95
13,2,1981,25.34,14.87,0,19.63
14,2,1981,25.72,14.7,18.87,22.36
15,2,1981,25.6,15.27,0,22.35
16,2,1981,23.18,15.32,0,17.26
17,2,1981,24.69,13.02,9.24,19.49
18,2,1981,24.83,14.25,6.99,20.53
19,2,1981,25.76,13.79,0.68,20.69
20,2,1981,26.8,14.7,0,22.47
21,2,1981,26.25,14.08,0,23.24
22,2,1981,26.82,13.89,0,23.48
23,2,1981,27.16,13.98,0,24.82
24,2,1981,27.37,14.29,3.16,24.61
25,2,1981,27.64,14.49,3.06,24.12
26,2,1981,27.53,14.32,0,24.02
27,2,1981,26.52,14.69,2.92,23.69
28,2,1981,27.32,16.24,0,23.43
1,3,1981,27.22,15.55,0,23.33
2,3,1981,27.02,16.89,2.32,21.01
3,3,1981,26.16,16.4,0,20.88
4,3,1981,25.73,16.2,0,19.74
5,3,1981,24.16,15.53,0,18.19
6,3,1981,24.36,16.31,4.05,19.22
7,3,1981,25.74,14.12,0,20.98
8,3,1981,27.71,13.7,0,25.91
9,3,1981,27.22,14.6,0,23.38
10,3,1981,26.11,15.28,0,20.85
11,3,1981,24.72,16.15,0,19.44
12,3,1981,25.97,15.84,0,21.42
13,3,1981,24.69,15.02,0,21.4
14,3,1981,23.91,14.22,0,19.94
15,3,1981,23.86,14.95,0,19.46
16,3,1981,22.64,16.01,5.73,15.58
17,3,1981,23.97,15.26,4.57,21.22
18,3,1981,24.09,14.72,0,20.12
19,3,1981,23.7,16.22,7.22,18.47
20,3,1981,23.85,14.39,41.84,19.72
21,3,1981,22.89,14.83,48.24,18.71
22,3,1981,24.13,13.65,7.61,21
23,3,1981,22.39,14.56,7.79,16.94
24,3,1981,23.09,13.65,10.05,20.17
25,3,1981,21,15.96,5.79,11.63
26,3,1981,22.96,15.02,0,18.36
27,3,1981,22.39,14.91,4.17,16.21
28,3,1981,23.19,14.8,7.53,19.36
29,3,1981,23.03,14.8,0,19.48
30,3,1981,23.82,13.87,23.78,21.81
31,3,1981,22.97,15.93,15.66,19.29
1,4,1981,22.61,15.5,11.55,17.72
2,4,1981,22.4,15.35,0,17.94
3,4,1981,22.97,14.83,0,20.71
4,4,1981,23.9,13.67,23.83,21.77
5,4,1981,22.64,14.41,0,18.01
6,4,1981,23.14,12.43,8.02,20.49
7,4,1981,24.27,13.81,5.88,22.41
8,4,1981,23.52,13.82,7.09,21.31
