day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.37,10.59,0,20.31
2,1,1981,22.05,11.58,0.14,21.42
3,1,1981,23.86,11.39,0,21.05
4,1,1981,22.98,10.99,6.87,20
5,1,1981,23.91,10.33,0.03,21.49
6,1,1981,22.38,11.78,0,19.13
7,1,1981,23.27,11.21,0,22.08
8,1,1981,23.96,10.51,0,23.45
9,1,1981,23.76,9.97,0,23.52
10,1,1981,23.51,9.49,0,21.9
11,1,1981,23.24,10.2,0,21.84
12,1,1981,23.29,10.69,0,21.37
13,1,1981,22.35,10.96,0,20.87
14,1,1981,22.96,10.83,0,19.05
15,1,1981,23.05,11.39,0,18.44
16,1,1981,22.84,10.46,0,19.66
17,1,1981,24.5,10.3,0,22.93
18,1,1981,24.37,10.51,0,22.58
19,1,1981,24.77,10.66,0,23.45
20,1,1981,24.45,10.43,0,23.61
21,1,1981,24.02,10.72,0,22
22,1,1981,23.53,11.6,0,21.03
23,1,1981,23.52,12.28,0,21.05
24,1,1981,24.81,11.71,0,22.96
25,1,1981,25.07,10.86,0,24.16
26,1,1981,24.96,11.42,0,24.6
27,1,1981,25.08,10.82,0,24.59
28,1,1981,25.16,10.06,0,25.09
29,1,1981,25.16,10.52,0,23.7
30,1,1981,22.08,10.87,0,20.55
31,1,1981,24.35,10.34,0,22.09
1,2,1981,24.05,9.16,0,25.09
2,2,1981,24.44,9.3,0,24.58
3,2,1981,25.14,9.4,0,25.28
4,2,1981,24.66,9.98,0,24.17
5,2,1981,24.62,10.61,0,24.44
6,2,1981,24.82,10.88,0,24.73
7,2,1981,24.94,10.82,0,24.97
8,2,1981,25.27,10.25,0,24.92
9,2,1981,23.41,11.76,0,21.67
10,2,1981,24.27,12.21,0,21.48
11,2,1981,23.37,12.25,0,21.3
12,2,1981,22.33,13.1,0,19.3
13,2,1981,22.1,12.98,0,19.05
14,2,1981,22.2,11.77,21.18,20.04
15,2,1981,22.28,12.42,0,21.15
16,2,1981,20.66,12.92,0,17.51
17,2,1981,21.5,12.3,2.01,19.74
18,2,1981,22.02,12.48,1.88,20.81
19,2,1981,22.65,11.87,0,20.97
20,2,1981,23.57,11.98,0,21.91
21,2,1981,23.58,11.47,0,24.29
22,2,1981,24.31,11.48,0,23.41
23,2,1981,24.62,11.53,0,25.39
24,2,1981,24.49,11.74,5.68,24.05
25,2,1981,25.22,11.95,1.07,24.51
26,2,1981,24.55,11.88,0,24.11
27,2,1981,23.1,11.49,4.31,22.94
28,2,1981,24.39,13.53,0,22.87
1,3,1981,23.59,12.94,0,22.49
2,3,1981,23.08,13.96,0,20.27
3,3,1981,23.26,13.43,0,20.85
4,3,1981,22.19,14.01,2.67,20.45
5,3,1981,23.16,12.71,0,18.86
6,3,1981,21.61,12.43,3.58,19.58
7,3,1981,23.82,12.77,0,21.37
8,3,1981,24.02,11.33,0,26.03
9,3,1981,23.92,12.09,0,22.04
10,3,1981,22.51,12.24,0,20.89
11,3,1981,20.9,13.74,1.56,18.27
12,3,1981,22.46,13,0,20.11
13,3,1981,21.66,13.15,0,19.79
14,3,1981,22.47,12.56,1.28,19.62
15,3,1981,21.79,13.2,0,18.36
16,3,1981,21.15,13.96,6.06,16.32
17,3,1981,22.31,12.91,6.03,21.15
18,3,1981,21.73,13.2,5.13,18.85
19,3,1981,21.31,13.74,10.91,17.34
20,3,1981,21.5,12.16,21.76,19.53
21,3,1981,21.94,12.87,37.88,18.76
22,3,1981,20.68,12.74,12.41,18.32
23,3,1981,19.42,12.04,6.2,14.25
24,3,1981,21.75,11.54,13.12,19.83
25,3,1981,18.37,13.48,7.06,12.09
26,3,1981,21.4,12.66,5.78,18.08
27,3,1981,19.92,13.32,3.65,14.66
28,3,1981,20.91,12.74,6.51,18.73
29,3,1981,21.45,13.08,0,20.25
30,3,1981,22.26,11.82,14.12,21.74
31,3,1981,21.02,13.46,21.94,18.77
1,4,1981,20.04,14.02,6.95,16.3
2,4,1981,19.73,13.6,18.41,16.06
3,4,1981,22.03,13.33,2.56,21.76
4,4,1981,22.05,11.7,13.35,23.39
5,4,1981,19.9,13.1,0,16.97
6,4,1981,21.67,12.14,7.39,19.65
7,4,1981,22.03,12.19,0.67,21.28
8,4,1981,21.82,13.26,9.58,21.56
9,4,1981,23.03,12.96,6.72,21.17
10,4,1981,22.19,12.95,7.37,19.3
11,4,1981,21.09,12.86,20.82,17.75
12,4,1981,20.62,13.83,35.68,16.49
13,4,1981,21.82,12.65,13.98,19.8
14,4,1981,21.45,13.52,2.02,19.18
15,4,1981,21.67,13.79,10.24,18.43
16,4,1981,22.4,14.05,1.7,20.7
17,4,1981,21.81,13.65,0,19.5
18,4,1981,19.52,14.31,25.96,16.35
19,4,1981,20.34,13.11,3.7,18.13
20,4,1981,19.8,14.14,21.82,15.72
