day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.31,10.99,0,16.02
2,1,1981,20.41,10.96,0,18.68
3,1,1981,21.3,11.3,0,18.01
4,1,1981,21.4,11.43,0.84,16.83
5,1,1981,23.49,11.31,4.46,22.34
6,1,1981,21.55,11.65,2.17,16.05
7,1,1981,22.72,10.98,0,22.8
8,1,1981,22.49,9.73,0,24.42
9,1,1981,22.42,10,0,22.3
10,1,1981,22.78,10.11,0,22.21
11,1,1981,22.63,11.38,0,21.3
12,1,1981,21.57,11.75,0,16.32
13,1,1981,23.69,11.34,0,22.38
14,1,1981,22.73,11.66,0,19.23
15,1,1981,22.79,11.93,0,18.74
16,1,1981,23.25,11.82,0,19.97
17,1,1981,24.05,11.43,0,21.92
18,1,1981,23.73,12,0,21.14
19,1,1981,23.48,12.02,0,19.84
20,1,1981,24.09,11.18,0,24.36
21,1,1981,22.16,11.09,0,19.63
22,1,1981,21.89,12.66,0,17.82
23,1,1981,21.98,11.97,0,19.4
24,1,1981,24.25,10.91,0,22.96
25,1,1981,24.66,10.87,0,24.81
26,1,1981,24.55,11.04,0,23.52
27,1,1981,24.93,11.01,0,24.31
28,1,1981,24.43,10.83,0,25.2
29,1,1981,24,11.08,0,22.88
30,1,1981,24.1,10.84,0,22.96
31,1,1981,24.1,10.45,0,26.18
1,2,1981,24.13,9.92,0,26.14
2,2,1981,24.2,10.24,0,25.86
3,2,1981,24.43,10.41,0,26.06
4,2,1981,24.4,10.41,0,24.7
5,2,1981,24.38,10.52,0,24.03
6,2,1981,25,10.54,0,25.5
7,2,1981,24.59,10.65,0,25.09
8,2,1981,22.74,11.08,0,21.02
9,2,1981,21.58,12.1,0,17.18
10,2,1981,22.75,13.12,0.05,18.15
11,2,1981,22.02,12.72,0,17.28
12,2,1981,21.4,12.25,0,18.39
13,2,1981,22.01,11.55,0,19.94
14,2,1981,23.57,11.42,5.98,20.08
15,2,1981,23.46,11.42,7.45,21.76
16,2,1981,22.82,11.76,2.85,21.38
17,2,1981,22.67,11.67,0,19.96
18,2,1981,21.44,11.86,0,16.67
19,2,1981,23.1,11.54,0,21.33
20,2,1981,23.26,11.45,0,23.23
21,2,1981,24.89,11.17,0,24.91
22,2,1981,24.94,11.38,0,24.06
23,2,1981,25.78,11.34,0,25.26
24,2,1981,25.99,11.69,0,24.21
25,2,1981,26.02,11.95,0,24.21
26,2,1981,25.28,11.54,0,23.27
27,2,1981,23.12,12.39,0,20.89
28,2,1981,24.01,12.12,0,19.87
1,3,1981,25.17,12.92,15.33,21.78
2,3,1981,23.67,13.1,20.61,20.6
3,3,1981,21.7,12.23,25.96,16.91
4,3,1981,21,11.36,6.59,18.71
5,3,1981,20.34,12.05,16.7,17.69
6,3,1981,21,11.43,6.71,20.26
7,3,1981,21.93,11.45,0,19.56
8,3,1981,21.27,11.27,0,21.49
9,3,1981,21.05,11.8,0,21.57
10,3,1981,21.59,11.85,0,20.59
11,3,1981,22.13,12.17,0,21.71
12,3,1981,20.51,12.06,5.49,17.81
13,3,1981,19.99,12.07,12.72,16.49
14,3,1981,20.13,11.57,4.72,18.47
15,3,1981,20.18,11.6,1.32,18.66
16,3,1981,20.4,12.32,3.31,18.15
17,3,1981,20.76,11.49,6.02,20.61
18,3,1981,21.25,11.1,9.13,22.16
19,3,1981,20.08,11.63,5.26,18.88
20,3,1981,21.18,10.11,2.87,21.22
21,3,1981,19.99,12.39,25.71,15.84
22,3,1981,20.33,11.25,0.97,17.6
23,3,1981,20.61,11.2,11.05,17.29
24,3,1981,20.37,11.13,0.39,17.38
25,3,1981,19.59,12.15,3.63,15.04
26,3,1981,19.38,12.44,15.44,16.51
27,3,1981,18.36,12.13,2.55,12.6
28,3,1981,18.8,10.83,0,15.86
29,3,1981,18.59,11.51,2.87,16.66
30,3,1981,19.42,12.22,9.02,17.15
31,3,1981,19.76,11.91,8.83,18.01
1,4,1981,19.98,11.78,6.04,16.5
2,4,1981,19.19,10.8,8.2,18.03
3,4,1981,20.1,12.07,0,19.91
4,4,1981,21.06,11.35,0,22.35
5,4,1981,20.07,12.15,0,17.4
6,4,1981,20.73,11.76,9.7,18.41
7,4,1981,21.03,11.54,0,20.86
8,4,1981,20.28,11.66,0,18.57
9,4,1981,21.02,11.75,0,20.79
10,4,1981,20.59,12.16,0,19.51
11,4,1981,20.22,12.08,0,18.67
12,4,1981,20.2,11.91,0,17.31
13,4,1981,19.85,12.1,0,18.09
14,4,1981,20.09,11.9,11.63,17.19
15,4,1981,21.12,11.79,6.36,21.44
16,4,1981,21.51,11.81,0,23.93
17,4,1981,21.43,11.68,0,20.78
18,4,1981,20.82,11.76,13.74,19.19
19,4,1981,20.56,12.54,2.36,18.7
20,4,1981,20.61,12.26,3.81,19.9
21,4,1981,19.49,11.65,25.32,16.99
22,4,1981,18.84,11.16,0,17.84
23,4,1981,18.52,11.27,0,18.53
24,4,1981,19.06,11.18,13.89,18.28
25,4,1981,19.88,10.91,4.28,19.49
26,4,1981,20.38,10.53,0.33,19.83
27,4,1981,21.18,10.59,7.11,20.57
28,4,1981,22.49,10.88,0,27.29
29,4,1981,22.52,10.63,0,25.61
30,4,1981,21.78,10.64,0,23.37
1,5,1981,22.23,11.31,0,23.93
2,5,1981,22.23,11.52,0,22.59
3,5,1981,23.18,11.04,0,24.16
4,5,1981,21.96,10.79,0,23.92
5,5,1981,22.44,11.02,0,24.5
6,5,1981,22.66,11.35,0.33,24.54
7,5,1981,22.88,11.12,0,23.02
8,5,1981,21.52,10.59,0,23.58
9,5,1981,22.4,11.18,0,22.32
10,5,1981,21.72,10.89,0,22.28
11,5,1981,22.48,11.1,0,21.49
12,5,1981,22.08,11.18,0,20.13
13,5,1981,21.87,11.37,0,21.49
14,5,1981,23.26,10.33,0,24.64
15,5,1981,22.94,10.13,2.91,26.53
16,5,1981,21.59,10.35,1.18,24
17,5,1981,20,10.77,30.94,18.69
18,5,1981,18.84,11,0,16.53
19,5,1981,20.23,10.45,0,16.65
20,5,1981,22.21,10.38,0,22.81
21,5,1981,19.49,10.45,0,18.95
22,5,1981,19.33,10.62,0,18.58
23,5,1981,20.97,10.22,0.39,20.59
24,5,1981,18.72,12.28,9.83,16.48
25,5,1981,20.58,10.86,1.64,19.03
26,5,1981,21.08,10.3,0.9,20.56
27,5,1981,22.06,10.91,0,22.27
28,5,1981,19.48,10.61,0,18.35
29,5,1981,19.5,10.81,1.12,17.87
30,5,1981,19.19,11.64,0,15.81
31,5,1981,22.15,10.83,0,20.62
1,6,1981,23.34,10.51,0,24.09
2,6,1981,21.02,10.92,0,19.92
3,6,1981,18.44,11.65,0.72,16.69
4,6,1981,18.74,10.86,0.19,17.28
5,6,1981,18.64,11.99,2.69,16.92
6,6,1981,18.89,11.44,2.46,17.34
7,6,1981,18.74,11.01,0.48,16.35
8,6,1981,19.82,10.22,0,18.22
9,6,1981,19.89,10.38,0,18.82
10,6,1981,18.96,10.17,0,17.58
11,6,1981,19.17,10.8,0,15.5
12,6,1981,19.95,10.1,0,19.65
13,6,1981,17.76,11.17,0,14.17
14,6,1981,17.44,10.64,0,16.55
15,6,1981,17.86,10.12,0,17.39
16,6,1981,18.61,11.08,0,17.34
17,6,1981,18.18,11.57,5.94,15.83
18,6,1981,19.51,10.28,0.92,17.53
19,6,1981,20.41,11.42,0.25,18.55
20,6,1981,19.12,11.38,0.22,17.05
21,6,1981,17.92,11.9,3.76,11.23
22,6,1981,18.24,11.72,2.98,17.9
23,6,1981,18.56,10.35,3.89,17.83
24,6,1981,18.94,10.35,5.5,18.17
25,6,1981,18.31,11.57,5.93,16.48
26,6,1981,17.46,10.9,5.46,16.52
27,6,1981,18.01,10.66,1.34,16.65
28,6,1981,17.64,10.92,0.33,15.05
29,6,1981,18.08,10.48,4.18,17.63
30,6,1981,17.59,10.13,6.11,17.41
1,7,1981,17.73,10.19,7,16.72
2,7,1981,17.38,11.71,5.12,15.5
3,7,1981,17.12,11.58,3.11,14.23
4,7,1981,17.6,11.07,6.52,16.81
5,7,1981,17.76,10.5,0.54,16.68
6,7,1981,17.53,10.35,2.08,17.42
7,7,1981,17.51,11.28,3.68,15.93
8,7,1981,17.21,10.65,0.63,15.58
9,7,1981,17.44,10.43,18.38,16.23
10,7,1981,16.88,10.57,7.59,13.34
11,7,1981,16.4,10.76,10.17,13.86
12,7,1981,17.81,10.12,11.58,17.03
13,7,1981,17.16,10.26,7.61,16.45
14,7,1981,17.58,10.01,7.51,15.77
15,7,1981,16.67,10.5,5.3,15.5
16,7,1981,16.46,11.01,1.33,14.15
17,7,1981,16.4,10.77,0,14.96
18,7,1981,17.45,10.62,0.18,14.57
19,7,1981,16.76,11.26,7.83,12.56
20,7,1981,16.12,11.34,23.29,10.55
21,7,1981,17.27,10.67,8.99,15.4
22,7,1981,17.5,11.39,5.25,15.27
23,7,1981,18.12,11.58,9.68,16.76
24,7,1981,17.17,11.2,8.24,17.37
25,7,1981,16.28,11.01,8,12.78
26,7,1981,16.45,10.77,15.3,11.38
