day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.84,12.71,0,18.04
2,1,1981,25.26,12.61,0,20.2
3,1,1981,26.46,12.44,0,20.83
4,1,1981,26.18,13.19,0,20.26
5,1,1981,27.52,13.18,1.31,23.65
6,1,1981,25.98,13.81,0.4,19.06
7,1,1981,26.61,12.91,0,23.82
8,1,1981,26.63,11.27,0,25.04
9,1,1981,26.51,11.7,0,23.86
10,1,1981,26.91,11.71,0,23.56
11,1,1981,26.85,13.34,0,22.75
12,1,1981,25.9,13.54,0,18.68
13,1,1981,27.4,13.49,0,22.69
14,1,1981,26.39,13.62,0,20.39
15,1,1981,26.77,13.83,0,20.69
16,1,1981,27.3,13.73,0,22.26
17,1,1981,27.81,13.85,0,23.05
18,1,1981,27.7,13.54,0,22.44
19,1,1981,27.75,13.89,0,22.48
20,1,1981,28.03,12.96,0,25.11
21,1,1981,26.31,12.9,0,20.53
22,1,1981,26.91,14.39,0,20.19
23,1,1981,27.1,13.13,0,22.37
24,1,1981,28.16,12.28,0,24.29
25,1,1981,28.72,12.84,0,25.42
26,1,1981,28.51,12.91,0,24.59
27,1,1981,28.77,13.01,0,25.3
28,1,1981,28.42,12.94,0,25.68
29,1,1981,27.71,12.62,0,24.44
30,1,1981,27.75,12.39,0,24.21
31,1,1981,27.73,11.78,0,26.48
1,2,1981,27.77,11.39,0,26.48
2,2,1981,27.93,11.74,0,26.29
3,2,1981,28.06,11.97,0,26.44
4,2,1981,28.2,11.79,0,25.65
5,2,1981,28.08,11.93,0,25.28
6,2,1981,28.89,12.44,0,26.1
7,2,1981,28.18,11.98,0,25.5
8,2,1981,26.88,12.61,0,22.81
9,2,1981,25.76,13.56,0,19.77
10,2,1981,26.87,15.2,0.93,20.09
11,2,1981,26.71,14.74,0,20.06
12,2,1981,26.28,14.33,0,19.55
13,2,1981,26.51,13.72,0,20.72
14,2,1981,27.41,13.35,0.28,21.71
15,2,1981,27.57,13.32,13.85,22.48
16,2,1981,27.19,13.7,2.88,22.62
17,2,1981,26.85,13.7,0,20.63
18,2,1981,25.69,13.81,0,18.59
19,2,1981,27.73,13.77,0,22.45
20,2,1981,28.04,13.68,0,23.87
21,2,1981,29.2,13.5,0,25.79
22,2,1981,29.37,13.58,0,25.37
23,2,1981,30.09,13.44,0,26.17
24,2,1981,30.09,14.03,0.04,25.24
25,2,1981,30.23,14.5,0,25.67
26,2,1981,29.21,13.76,0,24.59
27,2,1981,28.14,14.24,0,22.57
28,2,1981,28.22,14.15,0,21.44
1,3,1981,28.95,15.31,10.85,22.7
2,3,1981,27.75,15.82,19.64,20.61
3,3,1981,25.39,14.59,15.27,18.07
4,3,1981,25.04,13.45,0,19.83
5,3,1981,25,13.59,13.53,19.28
6,3,1981,25.35,13.97,2.41,21.1
7,3,1981,26.32,13.86,0,21.21
8,3,1981,26,13.38,0,23.51
9,3,1981,25.54,14.06,0,22.09
10,3,1981,26.45,14.26,0,22.56
11,3,1981,26.87,14.43,0,23.36
12,3,1981,24.87,14.61,7.1,18.67
13,3,1981,23.96,14.58,9.43,17.88
14,3,1981,24.03,14.54,0,19.78
15,3,1981,23.61,14.16,0,19.1
16,3,1981,24.01,14.68,2.98,19.07
