day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,18.94,9.16,0,18.3
2,1,1981,18.89,8.79,0,19.45
3,1,1981,19.79,8.84,0,20.43
4,1,1981,19.43,9.05,0.71,19.23
5,1,1981,20.13,9.07,3.54,22.94
6,1,1981,18.96,9.3,1.04,18.64
7,1,1981,19.1,8.8,0,23.08
8,1,1981,19.13,7.61,0,24.27
9,1,1981,18.91,7.92,0,23.19
10,1,1981,19.93,8.01,0,22.88
11,1,1981,20.35,8.95,0,22.09
12,1,1981,18.97,9.26,0,17.32
13,1,1981,20.37,9.11,0,22.41
14,1,1981,19.39,9.19,0,19.64
15,1,1981,19.28,9.37,0,19.61
16,1,1981,19.91,9.13,0,21.58
17,1,1981,20.71,9.3,0,22.5
18,1,1981,20.72,9.09,0,22.22
19,1,1981,20.69,9.31,0,22
20,1,1981,20.59,8.85,0,24.43
21,1,1981,20.77,8.77,0,20.52
22,1,1981,19.58,9.71,0,19.69
23,1,1981,19.93,9.12,0,21.84
24,1,1981,20.14,8.69,0,23.44
25,1,1981,21.02,8.84,0,24.85
26,1,1981,20.92,8.81,0,24.15
27,1,1981,20.67,8.75,0,24.84
28,1,1981,20.74,8.84,0,25.09
29,1,1981,19.83,8.45,0,24.16
30,1,1981,19.97,8.45,0,23.93
31,1,1981,19.52,7.84,0,26.2
1,2,1981,19.42,7.59,0,26.02
2,2,1981,19.67,8.02,0,25.82
3,2,1981,19.78,8.11,0,25.97
4,2,1981,20.13,7.98,0,25.28
5,2,1981,19.89,8.11,0,24.92
6,2,1981,20.65,8.6,0,25.76
7,2,1981,20.68,8.21,0,25.18
8,2,1981,21.11,8.46,0,23.11
9,2,1981,19.59,9.19,0,19.76
10,2,1981,19.11,10.69,0.05,18.63
11,2,1981,19.01,10.07,0,17.99
12,2,1981,18.76,10.18,0,17.83
13,2,1981,18.61,9.88,0,18.95
14,2,1981,19.13,9.36,1.15,20.05
15,2,1981,19.4,9.28,14.54,21.87
16,2,1981,19.07,9.48,2.83,20.63
17,2,1981,19.06,9.59,0,19.02
18,2,1981,19.39,9.79,0,17.65
19,2,1981,19.36,9.69,0,21.61
20,2,1981,19.61,9.59,0,23.62
21,2,1981,20.4,9.24,0,25.49
22,2,1981,20.73,9.26,0,25.14
23,2,1981,21.39,8.9,0,26.1
24,2,1981,21.48,9.09,0,25.14
25,2,1981,21.26,9.53,0,25.58
26,2,1981,20.62,9.06,0,24.71
27,2,1981,19.97,9.16,0,22.36
28,2,1981,19.67,9.69,0,21.59
1,3,1981,20.41,10.16,15.43,22.56
2,3,1981,19.68,10.69,25.83,20.45
3,3,1981,19.08,10.2,18.8,16.42
4,3,1981,17.93,9.96,0,18.89
5,3,1981,17.38,10.14,17.51,15.82
6,3,1981,18.03,10.2,5.2,19.11
7,3,1981,18.98,9.77,0,20.88
8,3,1981,18.43,9.32,0,23.97
9,3,1981,17.83,9.4,0,22.59
10,3,1981,18.59,9.56,0,22.65
11,3,1981,18.55,9.78,0,23.01
12,3,1981,17.86,10.35,8.84,17.79
13,3,1981,19.23,9.9,7.42,16.72
14,3,1981,19.19,10.31,0.16,18.87
15,3,1981,18.89,10.41,0,18.01
16,3,1981,19.16,10.7,3.07,17.52
17,3,1981,18.08,9.93,5.55,20.55
18,3,1981,18.5,9.46,5.75,21.54
19,3,1981,19.33,9.88,4.16,19.23
20,3,1981,18.27,9.2,2.14,21.2
21,3,1981,17.85,10.72,21.91,18.01
22,3,1981,18.72,9.75,0,18.59
23,3,1981,19.47,10.1,9.61,19.18
24,3,1981,17.99,9.93,0,17.76
25,3,1981,17.83,10.05,0.33,18
26,3,1981,18.83,10.5,9.8,17.52
27,3,1981,16.37,10.47,0,14.38
28,3,1981,17.96,9.82,0,17.47
29,3,1981,16.92,9.9,0,16.29
30,3,1981,18.74,10.43,8.41,18.73
31,3,1981,18.59,10.11,14.02,18.16
1,4,1981,18.11,9.85,10.2,17.05
2,4,1981,16.44,10.11,1.52,17.75
3,4,1981,17.24,10.43,0,20.01
4,4,1981,17.92,9.49,0,22.45
5,4,1981,18.85,10.48,0,18.15
6,4,1981,17.42,10.17,0,19.68
7,4,1981,18.04,9.62,0,22.43
8,4,1981,18.7,10.15,0,19.46
9,4,1981,17.52,9.62,0,20.89
10,4,1981,18.09,9.84,0,20.36
11,4,1981,17.64,10.12,0,19.03
12,4,1981,16.82,9.9,0,18.54
13,4,1981,16.98,9.99,0,19.84
14,4,1981,17.24,10.05,14.38,18.54
15,4,1981,19.68,10.25,0,21.46
16,4,1981,18.65,9.61,0,24.63
17,4,1981,17.64,9.56,0,21.5
18,4,1981,17.5,10.35,19.62,20.63
19,4,1981,17.38,10.24,0,21.41
20,4,1981,18.7,10.29,0,20.78
21,4,1981,17.93,10.11,34.66,17.49
22,4,1981,16.88,9.63,0,18.9
23,4,1981,17.06,9.63,0,19.11
24,4,1981,15.87,9.42,0.59,18.02
25,4,1981,16.24,9.3,0,19.43
26,4,1981,17.08,8.78,1.13,22.16
27,4,1981,16.83,9.07,5.06,22.69
28,4,1981,17.92,9.03,0,26.96
