day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.29,11.46,0,22.08
2,1,1981,25.28,11.91,0,21.9
3,1,1981,26.08,12.68,0,22.4
4,1,1981,25.59,12.49,2.12,21.9
5,1,1981,25.76,12.28,2.12,23.07
6,1,1981,25.01,12.57,0,21.64
7,1,1981,24.91,11.92,0,23.64
8,1,1981,24.8,11.31,0,24.15
9,1,1981,24.91,11.72,0,23.6
10,1,1981,25.12,11.18,0,23.54
11,1,1981,25.73,11.94,0,23.56
12,1,1981,25.53,13.18,0,22.31
13,1,1981,25.56,12.55,0,23.65
14,1,1981,25.16,12.53,0,23.05
15,1,1981,25.2,12.53,0,22.8
16,1,1981,25.3,12.2,0,22.88
17,1,1981,26.03,12.28,0,23.45
18,1,1981,25.99,12.93,0,23.6
19,1,1981,26.1,13.15,0,23.25
20,1,1981,25.93,12.98,0,24.28
21,1,1981,25.83,12.07,0,22.91
22,1,1981,25.84,13.68,0,22.24
23,1,1981,26.01,13.33,0,21.78
24,1,1981,25.95,12.99,0,23.48
25,1,1981,26.66,13.08,0,24.49
26,1,1981,26.72,13.28,0,24.53
27,1,1981,26.66,12.29,0,24.69
28,1,1981,26.37,12.41,0,24.81
29,1,1981,25.6,12.52,0,24.33
30,1,1981,25.61,12.08,0,24.51
31,1,1981,25.28,11.03,0,25.6
1,2,1981,25.01,11.27,0,25.36
2,2,1981,25.41,11.5,0,25.24
3,2,1981,25.57,11.76,0,25.3
4,2,1981,26.03,11.49,0,25.01
5,2,1981,25.67,11.91,0,24.38
6,2,1981,26.37,11.62,0,25.22
7,2,1981,26.01,11.51,0,25.34
8,2,1981,25.96,11.71,0,24.48
9,2,1981,26.92,12.7,0,22.31
10,2,1981,26.17,15.06,0.4,21.92
11,2,1981,24.9,14.18,2.53,20.31
12,2,1981,24.72,12.9,0.95,20.31
13,2,1981,24.51,12.59,0,21.5
14,2,1981,24.92,12.45,10.48,22
15,2,1981,25.47,12.47,0,23.49
16,2,1981,24.92,12.92,2.82,21.04
17,2,1981,25.57,12.01,0,20.95
18,2,1981,25.25,13.69,0,20.98
19,2,1981,25.96,13.29,0,22.77
20,2,1981,26.06,13.73,0,23.87
21,2,1981,26.62,13.49,0,24.66
22,2,1981,26.83,13.9,0,24.36
23,2,1981,27.86,13.72,0,25.62
24,2,1981,27.91,13.75,0,25.13
25,2,1981,27.4,13.85,0,24.88
26,2,1981,26.63,13.77,0,24.77
27,2,1981,26.89,13.71,0,24.23
28,2,1981,26.78,14.4,0,24.31
1,3,1981,27.43,15.2,5.75,24.94
2,3,1981,26.75,15.82,10.77,22.62
3,3,1981,24.48,13.83,27.23,18.76
4,3,1981,24.98,13.43,0,21.65
5,3,1981,24.25,14.02,6.14,18.08
6,3,1981,24.24,13.37,3.11,20.59
7,3,1981,24.85,13.12,0,22.56
8,3,1981,24.91,13.21,0,24.22
9,3,1981,25.43,12.46,0.75,24.3
10,3,1981,26.06,13.68,0,23.54
11,3,1981,25.95,14.37,0,23.57
12,3,1981,25.48,13.73,0,20.62
13,3,1981,25.54,13.95,10.96,19.95
14,3,1981,25.32,13.25,0,20.48
15,3,1981,24.89,13.65,0,20.43
16,3,1981,23.86,14.35,2.66,18.96
17,3,1981,25.37,12.97,0.33,22.23
18,3,1981,25.14,12.78,14.69,22.09
19,3,1981,23.62,13.22,5.64,20.03
20,3,1981,24.2,12.11,0,23.97
21,3,1981,23.65,13.92,32.92,21.19
22,3,1981,24.42,13.83,0,21.91
23,3,1981,23.11,13.91,0,19.66
