day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.97,11.5,0,21.97
2,1,1981,24.03,11.82,0,21.9
3,1,1981,25.08,13.21,0,22.34
4,1,1981,24.34,12.9,3.14,21.43
5,1,1981,24.88,12.26,3.82,23.28
6,1,1981,24.04,11.77,0,21.8
7,1,1981,23.74,11.25,0,23.63
8,1,1981,23.67,10.2,0,24.23
9,1,1981,23.58,10.71,0,23.63
10,1,1981,24.26,10.86,0,23.51
11,1,1981,24.87,11.91,0,23.34
12,1,1981,24.11,12.73,0,21.36
13,1,1981,24.48,11.51,0,23.78
14,1,1981,23.97,11.76,0,22.63
15,1,1981,23.85,11.93,0.86,22.3
16,1,1981,24.29,11.5,0,22.86
17,1,1981,25.07,11.89,0,23.33
18,1,1981,25.19,12.34,0,23.56
19,1,1981,25.26,12.45,0,23.11
20,1,1981,25.08,11.88,0,24.35
21,1,1981,25.33,11.89,0,22.95
22,1,1981,24.72,12.95,0,22.1
23,1,1981,25.03,12.74,0,22.52
24,1,1981,24.84,12.44,0,23.69
25,1,1981,25.84,12.26,0,24.7
26,1,1981,25.9,12.4,0,24.55
27,1,1981,25.64,12.16,0,24.85
28,1,1981,25.41,11.72,0,24.94
29,1,1981,24.28,11.38,0,24.36
30,1,1981,24.55,11.21,0,24.55
31,1,1981,24.12,10.49,0,25.89
1,2,1981,23.83,9.56,0,25.59
2,2,1981,24.14,10.21,0,25.44
3,2,1981,24.45,10.27,0,25.53
4,2,1981,24.89,10.42,0,25.19
5,2,1981,24.7,10.95,0,24.68
6,2,1981,25.44,11.59,0,25.47
7,2,1981,25.05,11.48,0,25.36
8,2,1981,25.38,11.82,0,24.54
9,2,1981,25.72,12.69,0,22.47
10,2,1981,24.54,15.19,0,21.44
11,2,1981,23.66,13.86,0,19.39
12,2,1981,23.49,12.97,0,19.79
13,2,1981,23.15,12.73,0,20.71
14,2,1981,23.62,12.26,10.97,21.45
15,2,1981,24.06,11.92,1.92,23.46
16,2,1981,23.4,12.84,2.51,20.88
17,2,1981,23.89,12.13,0,20.67
18,2,1981,24.03,13.79,0,20.48
19,2,1981,24.64,12.92,0,22.76
20,2,1981,24.89,12.85,0,24.33
21,2,1981,25.61,12.98,0,25.18
22,2,1981,25.97,13.16,0,24.8
23,2,1981,26.97,13.05,0,25.91
24,2,1981,27.17,13.33,0,25.34
25,2,1981,26.71,13.84,0,25.22
26,2,1981,25.93,13.21,0,25.1
27,2,1981,25.76,13.25,0,24.09
28,2,1981,25.69,13.94,0,24.13
1,3,1981,26.58,14.78,14.67,24.74
2,3,1981,26.06,15.41,21.09,22.64
3,3,1981,23.54,14.39,37.51,18.1
4,3,1981,23.16,13.4,0,21.54
5,3,1981,22.32,14.14,14.59,16.26
6,3,1981,22.55,13.49,5.74,19.55
7,3,1981,23.48,13.1,0,22.71
8,3,1981,23.37,12.41,0,24.82
9,3,1981,23.34,12.16,0,24.62
10,3,1981,24.19,13.2,0,23.83
11,3,1981,24.1,13.37,0,24.14
12,3,1981,23.65,13.58,3.06,20.24
13,3,1981,24.16,13.31,13.87,19.24
14,3,1981,23.83,13.38,0,20.3
15,3,1981,23.3,13.66,0,19.83
16,3,1981,22.91,14.34,2.46,19.03
17,3,1981,23.37,12.75,2.04,21.88
18,3,1981,23.77,12.24,13.55,21.72
19,3,1981,21.89,13.07,5.45,19.46
20,3,1981,22.91,12.31,0.5,23.36
21,3,1981,22.67,14.28,38.32,21.02
22,3,1981,23.51,12.88,0,21.8
23,3,1981,22.4,14.01,1.49,19.97
24,3,1981,23.31,13.22,0,21.36
25,3,1981,23.18,13.77,0,21.39
26,3,1981,22.74,13.82,34.42,19.53
27,3,1981,20.95,13.74,0,18.55
28,3,1981,21.41,13.7,0,19.68
29,3,1981,21.88,13.88,0,17.74
30,3,1981,22.29,13.9,0,22.31
31,3,1981,22.17,13.74,9.61,20.94
1,4,1981,21.95,13.04,2.75,19.21
2,4,1981,22.88,13.88,13.31,19.55
3,4,1981,22.02,14.39,0,21.63
4,4,1981,23,12.8,0,24.2
5,4,1981,22.91,14.31,0,21.26
6,4,1981,22.53,13.81,0,22.61
7,4,1981,23.36,13.18,0,24.25
8,4,1981,23.31,13.84,0,22.78
9,4,1981,23.89,13.62,0,24.23
10,4,1981,23.67,14.36,0,22.62
11,4,1981,23.63,14.14,0,19.98
12,4,1981,23.2,13.91,0,20.79
13,4,1981,23.68,14,0,23.26
14,4,1981,23.66,13.61,17.06,21.52
15,4,1981,24.94,15.16,0,22.64
16,4,1981,24.85,13.92,0,24.82
17,4,1981,23.48,13.96,0,22.55
18,4,1981,23.53,14.35,9.01,22.67
19,4,1981,23.2,14.02,8.98,23.09
20,4,1981,22.91,14.12,0,21.6
21,4,1981,21.8,14.04,26.57,19.01
22,4,1981,22.17,13.09,0,21.34
23,4,1981,21.61,13.43,0,20.19
24,4,1981,21.39,12.05,0,20.06
25,4,1981,21.13,12.6,17.69,20.87
26,4,1981,22.57,12.18,1.43,23.81
27,4,1981,22.25,13.43,6.13,23.39
28,4,1981,23.52,13.3,0,26.29
29,4,1981,24.08,13.01,0,26.52
30,4,1981,24.63,12.43,0,26.41
1,5,1981,24.53,13.55,0,25.79
2,5,1981,24.51,14.17,0,24.58
3,5,1981,25.12,13.48,0,25.56
4,5,1981,24.21,13.68,0,24.56
5,5,1981,24.67,14.29,0,24.66
6,5,1981,24.82,14.27,1.21,25.32
7,5,1981,25.56,14.15,0,25.36
8,5,1981,24.59,13.17,0,25.71
9,5,1981,24.41,13.66,0,24.17
10,5,1981,23.81,14.6,0,24.27
11,5,1981,24.4,14.37,0,23.44
12,5,1981,24.97,14.19,0,24.78
13,5,1981,25.39,13.6,0,25.07
14,5,1981,25.38,14.4,0,26.45
15,5,1981,25.22,13.73,0,27.23
16,5,1981,25.1,13.23,4.67,26.06
17,5,1981,24.75,13.81,19.9,23.74
18,5,1981,23.78,14.57,0,22.14
19,5,1981,24.02,14.54,0,21.25
20,5,1981,24.58,14.56,0,23.27
21,5,1981,24.45,14.17,0,22.53
22,5,1981,23.42,14.29,0,22.03
23,5,1981,25.15,13.53,1.36,24.45
24,5,1981,22.91,14.52,0,20.7
25,5,1981,24.1,13.54,6.39,22.29
26,5,1981,24.79,13.29,4.25,23.02
27,5,1981,24.97,13.5,0,23.5
28,5,1981,24.42,12.94,0,22.31
29,5,1981,23.96,13.71,0.99,21.8
30,5,1981,23.8,13.97,0,20.85
31,5,1981,24.89,14.38,0,22.72
1,6,1981,25.68,14.51,0,24.78
2,6,1981,24.65,13.97,0,21.84
3,6,1981,23.77,14.89,0.57,20.8
4,6,1981,23.8,14.47,0,20.53
5,6,1981,23.45,14.3,2.28,20.74
6,6,1981,24.26,14.14,0,20.81
7,6,1981,23.89,14.01,1.87,20.97
8,6,1981,23.94,13.93,0,21.02
9,6,1981,23.06,14.41,0,19.5
10,6,1981,24.04,13.84,0,21.56
11,6,1981,24.17,13.52,0,20.66
12,6,1981,24.17,14.05,0,21.62
13,6,1981,23.19,14.33,0,19.83
14,6,1981,22.7,13.61,0,20.43
15,6,1981,23.74,12.33,0,20.93
16,6,1981,23.88,13.85,0,21.18
17,6,1981,23.14,13.9,0.81,19.96
18,6,1981,24.89,13.43,3.03,21.14
19,6,1981,24.87,14.3,0,21.68
20,6,1981,24.62,14.01,0.1,20.81
21,6,1981,23.72,14.71,1.59,19.08
22,6,1981,24.08,14.07,1.3,21.18
23,6,1981,24.34,13.71,0.27,20.95
24,6,1981,24.96,13.63,3.62,21.58
25,6,1981,23.47,14.7,8.25,19.72
26,6,1981,22.7,14.24,5.67,19.29
27,6,1981,23.18,13.37,1.42,20.37
28,6,1981,22.77,13.46,0,19.99
29,6,1981,23.55,13.98,3.9,21.68
30,6,1981,22.85,13.26,1.12,19.58
1,7,1981,23.33,13.72,4.13,20.41
2,7,1981,22.55,14.54,0.12,18.53
3,7,1981,21.13,14.29,0,16.47
4,7,1981,21.89,13.67,11.46,18.23
5,7,1981,21.78,13.21,0,19.61
6,7,1981,22.61,13.28,0,20.78
7,7,1981,23.23,14.35,0,20.51
8,7,1981,22.28,13.41,0,19.2
9,7,1981,22.44,13.4,20.36,20.1
10,7,1981,21.3,13.82,1.76,17.61
11,7,1981,19.31,13.18,8.28,15.61
12,7,1981,21.78,12.57,10.34,20.1
13,7,1981,21.32,12.42,4.33,19.63
14,7,1981,21.92,12.9,5.78,20.23
15,7,1981,21.57,12.89,3.72,19.77
16,7,1981,20.6,13.31,0,17.14
17,7,1981,20.4,13.61,0,17.12
18,7,1981,20.43,13.45,0,18.03
19,7,1981,20.35,13.61,0,17.81
20,7,1981,19.06,13.5,23.03,13.15
21,7,1981,20.83,12.98,5.85,19.61
22,7,1981,21.12,13.33,0,19.24
23,7,1981,21.8,13.19,11.12,20.81
24,7,1981,20.97,13.22,7.64,19.24
25,7,1981,20.39,12.8,8.99,16.82
26,7,1981,19.83,13.18,18.07,16.22
27,7,1981,20.6,12.98,0,19.52
28,7,1981,21.35,12.82,0,20.55
29,7,1981,21.01,13.29,0,19.82
30,7,1981,19,13.83,37.19,15.01
31,7,1981,20.77,13.41,0.45,19.76
1,8,1981,21.32,13.29,0,21.79
2,8,1981,21.83,14.07,16.06,19.92
3,8,1981,21.35,12.92,7.58,20.18
4,8,1981,21.61,13.8,0.25,19.46
5,8,1981,21.16,13.87,7.8,19.43
6,8,1981,20.85,14.16,17.22,17.41
7,8,1981,20.25,13.89,0,18.22
8,8,1981,20.87,13.99,1.22,19.22
9,8,1981,21.15,13.82,0,21.63
10,8,1981,21.68,13.07,4.77,21.53
11,8,1981,21.69,14.3,8.28,19.64
12,8,1981,20.25,13.42,9.28,18.92
13,8,1981,19.66,13.87,12.42,15.81
14,8,1981,21.31,13.27,5.45,21.4
15,8,1981,21.32,13.08,5.7,20.32
16,8,1981,21.24,12.39,0,21.82
17,8,1981,21.42,12.69,0.7,21.32
18,8,1981,21.12,12.14,7.19,21.7
19,8,1981,21.23,12.38,0,21.66
20,8,1981,21.15,12.7,7.78,22.05
21,8,1981,20.52,13.1,3.18,20.45
22,8,1981,19.1,12.85,12.1,18.22
23,8,1981,20.45,12,0,20.84
24,8,1981,20.14,12.36,0,21.14
25,8,1981,21.12,12.09,0,21.51
