day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,18.77,9.89,0,15.91
2,1,1981,18.87,9.86,0,18.69
3,1,1981,19.79,10.15,0,17.98
4,1,1981,19.89,10.27,0.84,16.76
5,1,1981,22.03,10.16,4.46,22.5
6,1,1981,20.04,10.46,2.17,15.94
7,1,1981,21.23,9.89,0,22.98
8,1,1981,21,8.82,0,24.67
9,1,1981,20.91,9.06,0,22.46
10,1,1981,21.29,9.16,0,22.36
11,1,1981,21.12,10.24,0,21.42
12,1,1981,20.03,10.55,0,16.22
13,1,1981,22.21,10.21,0,22.54
14,1,1981,21.22,10.48,0,19.26
15,1,1981,21.27,10.71,0,18.75
16,1,1981,21.74,10.62,0,20.03
17,1,1981,22.56,10.29,0,22.07
18,1,1981,22.23,10.77,0,21.25
19,1,1981,21.97,10.79,0,19.9
20,1,1981,22.59,10.08,0,24.61
21,1,1981,20.6,10,0,19.67
22,1,1981,20.32,11.34,0,17.79
23,1,1981,20.4,10.76,0,19.44
24,1,1981,22.75,9.85,0,23.16
25,1,1981,23.17,9.82,0,25.08
26,1,1981,23.04,9.97,0,23.75
27,1,1981,23.43,9.94,0,24.57
28,1,1981,22.92,9.79,0,25.5
29,1,1981,22.47,10,0,23.08
30,1,1981,22.57,9.8,0,23.16
31,1,1981,22.56,9.47,0,26.53
1,2,1981,22.6,9.01,0,26.49
2,2,1981,22.66,9.28,0,26.2
3,2,1981,22.9,9.43,0,26.41
4,2,1981,22.87,9.44,0,24.99
5,2,1981,22.84,9.52,0,24.29
6,2,1981,23.47,9.55,0,25.83
7,2,1981,23.05,9.64,0,25.4
8,2,1981,21.14,10,0,21.15
9,2,1981,19.94,10.88,0,17.16
10,2,1981,21.14,11.74,0.05,18.17
11,2,1981,20.39,11.4,0,17.26
12,2,1981,19.75,11,0,18.43
13,2,1981,20.37,10.41,0,20.05
14,2,1981,21.98,10.3,5.98,20.19
15,2,1981,21.86,10.29,7.45,21.95
16,2,1981,21.2,10.58,2.85,21.56
17,2,1981,21.04,10.51,0,20.09
18,2,1981,19.77,10.67,0,16.65
19,2,1981,21.48,10.4,0,21.52
20,2,1981,21.65,10.32,0,23.5
21,2,1981,23.33,10.08,0,25.26
22,2,1981,23.38,10.26,0,24.38
23,2,1981,24.25,10.23,0,25.64
24,2,1981,24.46,10.53,0,24.55
25,2,1981,24.49,10.74,0,24.55
26,2,1981,23.72,10.39,0,23.57
27,2,1981,21.49,11.11,0,21.1
28,2,1981,22.42,10.89,0,20.04
1,3,1981,23.61,11.56,15.33,22.04
2,3,1981,22.07,11.71,20.61,20.8
3,3,1981,20.03,10.97,25.96,16.96
4,3,1981,19.32,10.24,6.59,18.84
5,3,1981,18.63,10.83,16.7,17.78
6,3,1981,19.3,10.29,6.71,20.47
7,3,1981,20.27,10.31,0,19.74
8,3,1981,19.59,10.16,0,21.76
9,3,1981,19.35,10.6,0,21.86
10,3,1981,19.91,10.65,0,20.84
11,3,1981,20.48,10.91,0,22
12,3,1981,18.81,10.82,5.49,17.94
13,3,1981,18.26,10.83,12.72,16.57
14,3,1981,18.42,10.4,4.72,18.64
15,3,1981,18.47,10.43,1.32,18.85
16,3,1981,18.69,11.04,3.31,18.32
17,3,1981,19.06,10.33,6.02,20.89
18,3,1981,19.56,9.99,9.13,22.52
19,3,1981,18.37,10.44,5.26,19.1
20,3,1981,19.5,9.15,2.87,21.55
21,3,1981,18.27,11.09,25.71,15.93
22,3,1981,18.62,10.12,0.97,17.78
23,3,1981,18.91,10.07,11.05,17.46
24,3,1981,18.66,10.01,0.39,17.57
25,3,1981,17.86,10.88,3.63,15.12
26,3,1981,17.65,11.13,15.44,16.67
27,3,1981,16.6,10.86,2.55,12.6
28,3,1981,17.05,9.75,0,16
29,3,1981,16.84,10.33,2.87,16.84
30,3,1981,17.69,10.93,9.02,17.36
31,3,1981,18.05,10.67,8.83,18.26
1,4,1981,18.27,10.55,6.04,16.69
2,4,1981,17.46,9.72,8.2,18.3
3,4,1981,18.4,10.79,0,20.27
4,4,1981,19.4,10.18,0,22.82
5,4,1981,18.38,10.86,0,17.66
6,4,1981,19.06,10.53,9.7,18.71
7,4,1981,19.37,10.33,0,21.28
8,4,1981,18.6,10.43,0,18.9
9,4,1981,19.37,10.51,0,21.22
10,4,1981,18.92,10.86,0,19.89
11,4,1981,18.54,10.79,0,19.03
12,4,1981,18.53,10.64,0,17.61
13,4,1981,18.17,10.8,0,18.43
14,4,1981,18.43,10.63,11.63,17.5
15,4,1981,19.48,10.53,6.36,21.95
16,4,1981,19.9,10.55,0,24.54
17,4,1981,19.82,10.43,0,21.26
18,4,1981,19.18,10.49,13.74,19.61
19,4,1981,18.93,11.16,2.36,19.1
20,4,1981,18.98,10.92,3.81,20.36
21,4,1981,17.83,10.39,25.32,17.34
22,4,1981,17.16,9.98,0,18.22
23,4,1981,16.84,10.06,0,18.95
24,4,1981,17.4,9.99,13.89,18.69
25,4,1981,18.24,9.75,4.28,19.97
26,4,1981,18.76,9.43,0.33,20.33
27,4,1981,19.59,9.48,7.11,21.11
28,4,1981,20.94,9.72,0,28.13
29,4,1981,20.97,9.51,0,26.38
30,4,1981,20.22,9.51,0,24.05
1,5,1981,20.69,10.08,0,24.64
2,5,1981,20.69,10.26,0,23.24
3,5,1981,21.68,9.84,0,24.89
4,5,1981,20.42,9.63,0,24.64
5,5,1981,20.92,9.82,0,25.26
6,5,1981,21.15,10.11,0.33,25.31
7,5,1981,21.39,9.9,0,23.72
8,5,1981,19.99,9.45,0,24.31
9,5,1981,20.9,9.95,0,23
10,5,1981,20.2,9.7,0,22.97
11,5,1981,20.99,9.87,0,22.15
12,5,1981,20.58,9.94,0,20.74
13,5,1981,20.37,10.1,0,22.16
14,5,1981,21.81,9.21,0,25.46
15,5,1981,21.49,9.04,2.91,27.44
16,5,1981,20.09,9.23,1.18,24.81
17,5,1981,18.46,9.58,30.94,19.26
18,5,1981,17.27,9.77,0,17.01
19,5,1981,18.71,9.3,0,17.15
20,5,1981,20.75,9.24,0,23.58
21,5,1981,17.95,9.3,0,19.56
22,5,1981,17.8,9.44,0,19.18
23,5,1981,19.49,9.1,0.39,21.27
24,5,1981,17.17,10.85,9.83,17
25,5,1981,19.1,9.63,1.64,19.65
26,5,1981,19.62,9.15,0.9,21.27
27,5,1981,20.64,9.67,0,23.05
28,5,1981,17.98,9.41,0,18.96
29,5,1981,18,9.58,1.12,18.48
30,5,1981,17.68,10.28,0,16.32
31,5,1981,20.75,9.59,0,21.35
1,6,1981,21.98,9.32,0,24.98
2,6,1981,19.6,9.67,0,20.63
3,6,1981,16.93,10.29,0.72,17.25
4,6,1981,17.25,9.61,0.19,17.88
5,6,1981,17.16,10.57,2.69,17.51
6,6,1981,17.42,10.1,2.46,17.95
7,6,1981,17.27,9.73,0.48,16.92
8,6,1981,18.38,9.05,0,18.88
9,6,1981,18.46,9.19,0,19.5
10,6,1981,17.51,9,0,18.21
11,6,1981,17.73,9.54,0,16.05
12,6,1981,18.54,8.94,0,20.39
13,6,1981,16.29,9.85,0,14.67
14,6,1981,15.96,9.4,0,17.15
15,6,1981,16.4,8.95,0,18.03
16,6,1981,17.18,9.77,0,17.99
17,6,1981,16.74,10.18,5.94,16.41
18,6,1981,18.12,9.09,0.92,18.19
19,6,1981,19.05,10.05,0.25,19.26
20,6,1981,17.72,10.02,0.22,17.7
21,6,1981,16.5,10.45,3.76,11.62
22,6,1981,16.83,10.3,2.98,18.59
23,6,1981,17.17,9.13,3.89,18.52
24,6,1981,17.55,9.13,5.5,18.88
25,6,1981,16.92,10.16,5.93,17.11
26,6,1981,16.04,9.6,5.46,17.16
27,6,1981,16.62,9.39,1.34,17.29
28,6,1981,16.24,9.6,0.33,15.62
29,6,1981,16.7,9.24,4.18,18.32
