day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.71,12.28,0,22.01
2,1,1981,23.8,11.86,0,21.53
3,1,1981,24.62,12.97,0,22.45
4,1,1981,23.75,12.47,0.31,20.96
5,1,1981,24.52,12.09,2.04,23.45
6,1,1981,23.54,11.81,0,21.48
7,1,1981,23.32,11.14,0,23.65
8,1,1981,23.29,9.74,0,24.31
9,1,1981,23.08,10.16,0,23.89
10,1,1981,24.12,10.74,0,23.67
11,1,1981,24.59,11.71,0,23.14
12,1,1981,23.43,12.58,0,19.67
13,1,1981,24.08,11.45,0,23.78
14,1,1981,23.26,12,0,21.71
15,1,1981,23.35,12.32,3.21,21.39
16,1,1981,23.9,11.68,0,22.89
17,1,1981,24.98,11.96,0,23.62
18,1,1981,25.12,12.12,0,23.75
19,1,1981,25.08,12.25,0,23.48
20,1,1981,24.84,11.65,0,24.52
21,1,1981,25.77,11.71,0,23.08
22,1,1981,24.49,12.79,0,21.9
23,1,1981,25.04,12.48,0,23.21
24,1,1981,24.45,12.15,0,23.61
25,1,1981,25.72,11.96,0,24.89
26,1,1981,25.73,11.9,0,24.71
27,1,1981,25.33,11.95,0,25.09
28,1,1981,25.14,11.56,0,25.11
29,1,1981,23.96,11.19,0,24.72
30,1,1981,24.22,11.06,0,24.77
31,1,1981,23.83,10.03,0,26.06
1,2,1981,23.59,9.02,0,25.84
2,2,1981,23.87,9.83,0,25.68
3,2,1981,24.25,9.7,0,25.79
4,2,1981,24.6,10.07,0,25.52
5,2,1981,24.46,10.69,0,25.13
6,2,1981,25.24,11.17,0,25.75
7,2,1981,24.93,10.99,0,25.47
8,2,1981,25.75,11.42,0,24.92
9,2,1981,25.33,12.53,0,22.64
10,2,1981,23.94,15.59,0,20.25
11,2,1981,23.28,14.16,0.86,18.8
12,2,1981,23.14,14.19,0.86,19.44
13,2,1981,23.17,13.97,0,19.72
14,2,1981,23.68,13.05,7.13,20.65
15,2,1981,24.2,12.32,9.06,23.04
16,2,1981,23.3,13.27,2.17,20.55
17,2,1981,23.76,13.24,0,20.33
18,2,1981,23.55,13.93,0,20.52
19,2,1981,24.58,13.18,0,22.58
20,2,1981,24.86,12.81,0,24.46
21,2,1981,25.66,12.48,0,25.66
22,2,1981,26.06,12.57,0,25.54
23,2,1981,26.9,12.36,0,26.22
24,2,1981,27.21,12.73,0,25.64
25,2,1981,26.84,13.52,0,25.85
26,2,1981,26.12,12.77,0,25.67
27,2,1981,25.85,12.83,0,23.75
28,2,1981,25.51,13.78,0,23.79
1,3,1981,27,14.21,16.06,24.3
2,3,1981,26.07,15.68,23.21,22.8
3,3,1981,23.48,14.9,14.64,18.79
4,3,1981,22.82,14.38,0,20.59
5,3,1981,21.68,14.82,23.69,15.92
6,3,1981,22.32,14.46,4.74,19.73
7,3,1981,23.06,13.65,0,22.72
8,3,1981,23.29,12.5,0,25.43
9,3,1981,22.98,12.68,0,24.99
10,3,1981,23.82,13.39,0,24.25
11,3,1981,23.56,13,0,23.89
12,3,1981,23.11,13.8,6.2,20.57
13,3,1981,23.33,13.64,0,19.35
14,3,1981,23.06,14.27,0,20.84
15,3,1981,22.34,14.44,0,20.13
16,3,1981,22.5,15.06,1.1,19.1
17,3,1981,23.01,13.32,2.37,21.85
18,3,1981,23.78,12.98,9.01,21.74
19,3,1981,21.6,13.49,3.36,19.14
20,3,1981,22.75,13.03,1.52,22.64
21,3,1981,22.84,15.1,18.61,21.38
22,3,1981,23.52,13.32,1.06,21.89
23,3,1981,22.75,14.21,5.19,21.28
24,3,1981,23.09,13.69,1.06,20.95
25,3,1981,23.52,14.03,1.06,22
26,3,1981,22.74,14.46,0,20.59
27,3,1981,20.95,14.5,0,17.42
28,3,1981,21.58,13.98,0,20.08
29,3,1981,21.44,14.1,7.97,17.57
30,3,1981,22.35,14.38,0,22.66
31,3,1981,21.79,14.3,32.24,20.51
1,4,1981,21.81,13.65,0.42,19.11
2,4,1981,22.9,14.61,9.57,19.48
3,4,1981,21.67,14.63,0,21.07
4,4,1981,22.43,12.89,0,23.36
5,4,1981,22.39,14.8,0.31,21.17
6,4,1981,22.14,13.74,0,22.44
7,4,1981,23.14,12.89,0,24.09
8,4,1981,22.88,14.09,0,22.49
9,4,1981,23.33,13.17,0,23.36
10,4,1981,23.09,14.02,0,22.46
11,4,1981,22.84,14,0,20.63
12,4,1981,22.33,13.54,0,20.65
13,4,1981,22.91,14.22,0,22.7
14,4,1981,22.85,13.62,6.14,21.26
15,4,1981,23.89,15.18,0,23.03
16,4,1981,24.7,13.57,0,24.65
17,4,1981,22.88,13.56,0,22.45
18,4,1981,22.97,14.41,9.83,22.62
19,4,1981,22.62,14.02,0,23.46
20,4,1981,22.77,14.38,5.91,21.83
21,4,1981,21.63,14.01,20.58,19.43
22,4,1981,21.9,13.56,0.93,21.1
23,4,1981,21.34,13.48,0.93,20.53
24,4,1981,20.78,12.67,0.93,19.36
25,4,1981,20.84,12.8,0.93,20.96
26,4,1981,22.51,11.61,3.04,24.4
27,4,1981,22.02,12.56,0,23.76
28,4,1981,23.32,11.98,0,26.43
29,4,1981,24.02,11.6,0,27.25
30,4,1981,24.29,11.6,0,26.36
1,5,1981,24.24,13.39,0,25.08
2,5,1981,24.33,13.93,0,24.53
3,5,1981,24.99,12.45,0,25.58
4,5,1981,24.35,12.59,0,25.22
5,5,1981,24.56,12.76,0.87,25.29
6,5,1981,24.88,12.81,2.91,26.16
7,5,1981,25.52,13.19,0,26.08
8,5,1981,24.4,12.4,0,25.13
9,5,1981,24.25,12.91,0,24.29
10,5,1981,23.54,12.75,0,23.93
11,5,1981,24.22,12.89,0,22.92
12,5,1981,24.94,13.07,0,24.8
13,5,1981,25.08,12.89,0,24.41
14,5,1981,25.42,13.48,0,26.15
15,5,1981,25.28,12.78,0,27.45
16,5,1981,25.57,12,10.87,26.42
17,5,1981,25.19,13.03,0,23.94
18,5,1981,24.1,14.3,0,21.65
19,5,1981,24.79,14.05,0,21.67
