day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.71,10.09,0,19.14
2,1,1981,21.24,10,0,21.01
3,1,1981,21.1,11.09,0,19.81
4,1,1981,20.66,10.32,0,17.2
5,1,1981,21.35,10.22,0,19.15
6,1,1981,20.81,10.98,0,17.04
7,1,1981,19.86,10.7,0,17.34
8,1,1981,21.27,10.52,0,19.02
9,1,1981,21.07,10.71,0,18.9
10,1,1981,20.81,11.06,0,19
11,1,1981,20.62,11.12,0,18.49
12,1,1981,21.16,10.74,0,18.58
13,1,1981,21.94,10.75,0,19.16
14,1,1981,21.02,11.63,0,17.39
15,1,1981,21.71,11.05,0,19.34
16,1,1981,20.88,11.36,0,18.01
17,1,1981,21.2,11.02,0,17.24
18,1,1981,21.24,11.24,0,17.69
19,1,1981,20.73,11.78,0,18.32
20,1,1981,21.89,11.2,0,19.81
21,1,1981,20.98,11.24,0,19.14
22,1,1981,20.95,11.02,0,18.94
23,1,1981,21.06,10.87,0,18.11
24,1,1981,21.12,11.44,0,19.1
25,1,1981,21.93,10.68,0,20.27
26,1,1981,20.89,11.44,0,17.55
27,1,1981,20.23,10.99,0,17.06
28,1,1981,22.1,10.98,0,20.13
29,1,1981,20.32,11.47,0,17.91
30,1,1981,20.7,11.07,15.02,19.53
31,1,1981,21.5,10.31,2.66,20.44
1,2,1981,22.19,10.95,0,21.41
2,2,1981,21.08,10.61,0.37,20.59
3,2,1981,22.85,9.93,0,24.01
4,2,1981,21.51,11.53,0,19.2
5,2,1981,21.77,11.35,0,19.34
6,2,1981,21.55,11.76,0,19.73
7,2,1981,21.01,11.48,0,18.82
8,2,1981,21.79,11.15,0,19.04
9,2,1981,20.94,11.52,0,18.07
10,2,1981,21.48,11.81,0,19.76
11,2,1981,21.7,10.92,0,20.17
12,2,1981,22.11,10.57,4.03,21.47
13,2,1981,21.9,10.41,0,21.77
14,2,1981,22.71,10.53,0,21.84
15,2,1981,21.32,11.67,0,19.08
16,2,1981,21.75,11.4,1.29,19.26
17,2,1981,22.65,10.64,0,22.38
18,2,1981,22.57,11.24,0,21.41
19,2,1981,22.48,11,0,19.29
20,2,1981,22.46,11.46,0,19.92
21,2,1981,23.57,11.49,0,21.48
22,2,1981,23.49,12.18,0,21.12
23,2,1981,23.14,11.81,0,20.74
24,2,1981,22.82,12.05,3.26,20.11
25,2,1981,22.87,11.94,0,21.22
26,2,1981,22.78,11.84,0,20.71
27,2,1981,21.58,11.74,13.7,18.67
28,2,1981,21.76,11.6,0,19.76
1,3,1981,22.71,12.13,0,21.32
2,3,1981,22.44,12,4.62,19.64
3,3,1981,21.73,11.51,0,19.09
4,3,1981,21.42,11.67,0.86,20.11
5,3,1981,21.62,11.59,18.94,19.53
6,3,1981,21.9,11,0,20.71
7,3,1981,22.38,11.67,0,21.52
8,3,1981,21.74,11.66,0,18.68
9,3,1981,21,11.37,0,19.72
10,3,1981,21.63,11.5,0,20.12
11,3,1981,21.55,11.23,0,20.62
12,3,1981,22.62,11.78,11.83,19.24
13,3,1981,19.4,12.07,11.42,13.57
14,3,1981,21.56,12.16,11.26,17.89
15,3,1981,21.38,11.73,9.39,17.74
16,3,1981,22.72,11.49,12.41,21.82
17,3,1981,22.48,11.44,3.2,22.33
18,3,1981,21.57,11.82,4.9,19.24
19,3,1981,21.46,11.68,3.83,18.65
20,3,1981,22.2,11.32,2.16,19.66
21,3,1981,21.51,12.21,4.39,18.04
22,3,1981,21.86,11.75,0.78,17.78
23,3,1981,21.86,11.95,6.78,18.75
24,3,1981,21.12,11.64,8.01,17.2
25,3,1981,19.44,12.09,12.89,11.73
26,3,1981,21,12.27,11.78,17.56
27,3,1981,21.16,12.06,8.88,16.34
28,3,1981,21.13,11.9,3.08,17.43
29,3,1981,20.46,12.09,8.51,16.61
30,3,1981,21.13,11.85,5.03,19.39
31,3,1981,21.92,11.99,0.57,21.46
1,4,1981,21.83,11.69,0,23.99
2,4,1981,21.85,11.93,8.97,23.79
3,4,1981,22.5,11,0.88,24.14
4,4,1981,22.15,11.79,0.72,21.71
5,4,1981,22.38,11.96,0,21.24
6,4,1981,22.41,12.78,0,20.43
7,4,1981,22.71,11.87,3.8,21.01
8,4,1981,23.25,12.24,1.72,22.89
9,4,1981,23.06,11.72,0,22.74
10,4,1981,23.05,11.14,0,21.84
11,4,1981,22.98,11.76,0,21.12
12,4,1981,23.02,12.11,0,21.98
13,4,1981,22.64,11.53,0,20.76
14,4,1981,23.43,11.86,6.1,22.42
15,4,1981,23.3,12.25,0.43,21.74
16,4,1981,23.97,12.39,0.49,23.39
17,4,1981,24.32,12.69,3.18,22.94
18,4,1981,23.3,13.03,5.68,21.25
19,4,1981,22.07,12.52,0.33,19.48
20,4,1981,21.49,12.11,8.13,20.06
21,4,1981,21.32,11.93,5.82,18.93
22,4,1981,20.05,12.5,7.72,15.7
23,4,1981,21.05,12.12,7.41,17.73
24,4,1981,20.54,11.31,7.78,18.73
25,4,1981,20.75,11.13,8.38,19.5
26,4,1981,21.54,11.54,7.27,19.76
27,4,1981,21.8,11.35,8.99,20.57
28,4,1981,22.61,11.63,0,23.02
29,4,1981,22.3,12.14,0,22.59
30,4,1981,22.07,12.4,4.18,19.82
1,5,1981,20.76,11.94,7.27,17.96
2,5,1981,21.63,12.14,0,19.51
3,5,1981,21.9,11.89,2.4,21.44
4,5,1981,21.72,12.05,0,21.69
5,5,1981,21.53,11.72,10.27,21.07
6,5,1981,21.5,11.81,3.71,19.63
7,5,1981,19.83,11.61,4.77,16.47
8,5,1981,19.85,12.26,5.55,16.12
9,5,1981,20.94,11.63,5.12,19.7
10,5,1981,19.82,12.04,4.02,15.66
11,5,1981,21.15,11.85,5.77,17.66
12,5,1981,19.8,11.99,9.28,15.59
13,5,1981,21.15,11.9,9.44,18.49
14,5,1981,18.88,11.7,7.18,15.13
15,5,1981,19.73,12.27,5.75,17.4
16,5,1981,20.84,11.78,12.09,19.26
17,5,1981,21.14,11.69,14.94,18.63
18,5,1981,20.89,11.76,7.58,19
19,5,1981,20.86,11.65,10.31,19.63
20,5,1981,20.57,11.73,5.27,19.42
21,5,1981,20.39,12.02,12.59,17.64
22,5,1981,21.12,11.26,11.45,18.58
23,5,1981,20.58,11.49,0,18.2
