day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.18,15,0,19.54
2,1,1981,27.11,15.64,0,22.08
3,1,1981,27.51,16.23,0,20.57
4,1,1981,27.06,16.32,0,19.75
5,1,1981,28.11,15.85,2.02,22.49
6,1,1981,27.29,16.94,3.51,19.9
7,1,1981,27.39,15.78,0,22.25
8,1,1981,27.47,15.2,0,23.61
9,1,1981,27.67,14.75,0,22.71
10,1,1981,27.95,14.87,0,22.83
11,1,1981,28.08,15.4,0,22.82
12,1,1981,28.25,16.06,0,21.6
13,1,1981,28.58,16.4,0,22.41
14,1,1981,28.15,16.28,0,21.21
15,1,1981,27.73,15.91,0,20.54
16,1,1981,28.26,15.92,0,21.65
17,1,1981,28.19,15.99,0,22.75
18,1,1981,28.26,15.95,0,22.54
19,1,1981,28.1,16.59,0,20.99
20,1,1981,28.35,15.47,0,23.88
21,1,1981,27.72,15.91,0,20.54
22,1,1981,27.37,16.63,0,20.15
23,1,1981,27.47,16.77,0,20.44
24,1,1981,28.49,15.85,0,22.23
25,1,1981,28.7,15.67,0,23.97
26,1,1981,28.7,15.31,0,23.61
27,1,1981,28.49,15.78,0,24.06
28,1,1981,28.47,15.26,0,24.38
29,1,1981,28.4,15.46,0,22.38
30,1,1981,27.5,16.07,0,20.9
31,1,1981,28.32,15.4,0,24.4
1,2,1981,27.89,14.36,0,24.81
2,2,1981,28.07,14.69,0,24.58
3,2,1981,28.42,14.85,0,24.68
4,2,1981,28.48,14.67,0,24.12
5,2,1981,28.41,14.93,0,23.23
6,2,1981,28.47,14.95,0,24.45
7,2,1981,28.35,14.94,0,24.42
8,2,1981,27.56,15.17,0,19.76
9,2,1981,27.15,16.13,0,18.23
10,2,1981,28.1,16.55,0,19.28
11,2,1981,27.42,17.34,0,17.93
12,2,1981,27.04,17.15,0,20.59
13,2,1981,26.95,16.71,0,19.67
14,2,1981,28.08,16.57,0.27,22.13
15,2,1981,27.95,16.47,13.2,22.32
16,2,1981,25.61,16.25,0,18.03
17,2,1981,27.1,16.22,5.27,20
18,2,1981,27.29,16.59,7.86,20.65
19,2,1981,27.53,16.08,0,21.04
20,2,1981,27.87,16.57,0,22.11
21,2,1981,29,15.71,0,23.06
22,2,1981,28.87,15.75,0,23.4
