day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.71,15.78,0,21.5
2,1,1981,27.71,16.63,0.42,22.38
3,1,1981,28.69,16.58,0,22.24
4,1,1981,28.48,16.45,5.56,21.74
5,1,1981,29.08,16.32,0.43,22.86
6,1,1981,27.96,16.45,0.65,20.94
7,1,1981,28.31,15.32,0,23.31
8,1,1981,28.95,15.8,0,23.65
9,1,1981,29.12,15.42,0,23.73
10,1,1981,28.6,15.57,0,22.79
11,1,1981,28.59,16.06,0,22.81
12,1,1981,28.39,16.52,0,22.21
13,1,1981,28.43,17.01,0,21.93
14,1,1981,28.03,16.52,0,20.86
15,1,1981,28.38,16.8,0,20.9
16,1,1981,28.37,16.34,0,22.38
17,1,1981,29.24,16,0,23.45
18,1,1981,29.1,16.37,0,22.97
19,1,1981,29.27,16.53,0,23.99
20,1,1981,29.67,16.1,0,24.04
21,1,1981,28.44,16.45,0,22.3
22,1,1981,28.42,17.34,0,21.28
23,1,1981,28.34,17.41,0,20.9
24,1,1981,29.57,16.98,0,23.61
25,1,1981,30.51,16.68,0,24.46
26,1,1981,29.73,16.78,0,24.39
27,1,1981,30.14,16.46,0,24.78
28,1,1981,30.19,16.19,0,25.12
29,1,1981,29.09,16.21,0,23.91
30,1,1981,27.59,16.05,0,21.69
31,1,1981,28.51,15.27,0,23.38
1,2,1981,29.84,15.03,0,25.19
2,2,1981,29.17,15.55,0,24.62
3,2,1981,29.84,15.42,0,25.21
4,2,1981,29.89,15.81,0,24.65
5,2,1981,29.58,15.78,0,24.14
6,2,1981,30.24,16.22,0,24.51
7,2,1981,29.62,15.95,0,25.14
8,2,1981,28.9,16.17,0,24.56
9,2,1981,28.59,16.94,0,22.35
10,2,1981,28.7,18.17,0,22.68
11,2,1981,28.52,17.66,0.36,21.4
12,2,1981,28,16.96,0,21.31
13,2,1981,27.75,17,0,20.11
14,2,1981,28.13,16.87,11.88,22.61
15,2,1981,28,17.31,0.89,22.61
16,2,1981,25.64,17.34,0,17.93
17,2,1981,27.09,15.54,13.34,19.98
18,2,1981,27.23,16.5,1.51,20.93
19,2,1981,28.12,16.13,0,21.08
20,2,1981,29.12,16.84,0,22.72
21,2,1981,28.57,16.35,0,23.42
22,2,1981,29.11,16.2,0,23.65
23,2,1981,29.43,16.27,0,24.88
24,2,1981,29.62,16.5,3.89,24.69
25,2,1981,29.88,16.65,0.37,24.25
26,2,1981,29.75,16.52,0.1,24.15
27,2,1981,28.77,16.8,1.82,23.86
28,2,1981,29.53,18.01,0,23.61
1,3,1981,29.43,17.46,0,23.52
2,3,1981,29.22,18.5,1.39,21.39
3,3,1981,28.38,18.11,0.17,21.28
4,3,1981,27.96,17.95,0.56,20.23
5,3,1981,26.42,17.42,0,18.81
6,3,1981,26.6,18.03,3.58,19.76
7,3,1981,27.93,16.3,0,21.38
8,3,1981,29.82,15.98,0,25.91
9,3,1981,29.33,16.67,0,23.59
10,3,1981,28.25,17.2,0.16,21.27
11,3,1981,26.9,17.87,0,19.98
12,3,1981,28.1,17.61,0,21.79
13,3,1981,26.84,16.97,0,21.78
14,3,1981,26.08,16.34,11.67,20.44
15,3,1981,26.01,16.89,0.35,20.01
16,3,1981,24.82,17.72,3.9,16.44
17,3,1981,26.1,17.13,2.39,21.62
18,3,1981,26.21,16.7,4.87,20.62
19,3,1981,25.82,17.86,12.28,19.11
20,3,1981,25.95,16.43,21.6,20.26
21,3,1981,25.01,16.76,25.75,19.33
22,3,1981,26.18,15.83,12.13,21.44
23,3,1981,24.5,16.53,5.13,17.71
24,3,1981,25.16,15.81,10.9,20.68
25,3,1981,23.14,17.6,6.02,12.85
26,3,1981,25.01,16.86,3.1,19.03
27,3,1981,24.46,16.77,6.07,17.05
28,3,1981,25.21,16.68,2.61,19.95
29,3,1981,25.05,16.67,0.16,20.07
30,3,1981,25.8,15.93,13.66,22.21
31,3,1981,24.96,17.53,15.36,19.91
1,4,1981,24.6,17.19,0.9,18.46
2,4,1981,24.38,17.06,21.92,18.66
3,4,1981,24.92,16.64,0,21.22
4,4,1981,25.81,15.73,3.72,22.2
5,4,1981,24.58,16.29,0,18.75
6,4,1981,25.05,14.74,2.26,21.03
7,4,1981,26.13,15.81,0,22.8
8,4,1981,25.39,15.8,2.94,21.79
9,4,1981,26.12,16.03,7.22,21.56
10,4,1981,25.48,16.58,4.01,19.63
11,4,1981,25.59,16.53,8.65,19.87
12,4,1981,24.44,17.44,15.3,18.04
13,4,1981,24.8,16.3,7.96,20.82
14,4,1981,24.62,15.98,1.03,19.82
15,4,1981,24.9,17.17,6.63,20.04
16,4,1981,25.85,17.38,0,21.1
17,4,1981,25.7,17.31,0,21.21
18,4,1981,25.2,17.47,18.31,19.62
19,4,1981,25.32,16.29,2.88,20.49
20,4,1981,24.4,17.57,10.14,18.1
21,4,1981,24.03,16.98,1.43,17.62
22,4,1981,23.98,16.65,18.81,18.05
23,4,1981,23.76,16.95,12.96,16.25
24,4,1981,24.42,15.94,16.15,20.49
25,4,1981,23.76,15.85,2.87,19.57
26,4,1981,24.79,16.04,0,20.91
27,4,1981,24.74,15.64,11.06,19.63
28,4,1981,25.8,15.9,0.85,22.33
29,4,1981,25.58,16.55,0,22.46
30,4,1981,26.08,16.08,0,23.28
1,5,1981,25.37,16.35,0,22.24
2,5,1981,25.09,16.99,0,21.2
3,5,1981,26.14,15.97,2.87,23.05
4,5,1981,25.01,15.34,0,22.18
5,5,1981,25.62,15.46,0,22
6,5,1981,25.5,16.04,0,21.95
7,5,1981,24.51,16.8,1.94,20.04
8,5,1981,24.37,16.17,12.07,20.92
9,5,1981,24.65,16.59,0.91,20.93
10,5,1981,23.82,16.26,0,16.52
11,5,1981,24.57,15.87,13.86,19.43
12,5,1981,23.07,17.12,6.21,16.4
13,5,1981,24.03,15.67,6,19.18
14,5,1981,23.65,16.49,0,20.94
15,5,1981,23.37,16.37,5.11,20.56
16,5,1981,24.06,16.33,1.12,21.34
17,5,1981,23.98,16.42,10.09,21.41
18,5,1981,23.44,16.47,0,19.95
19,5,1981,24.4,15.63,0,21.36
20,5,1981,24.32,16.68,0.15,20.08
21,5,1981,24.02,16.49,9.54,20.3
22,5,1981,23.79,16.58,0,19.7
23,5,1981,23.68,16.61,0,19.31
24,5,1981,23.54,17.21,2.2,18.57
25,5,1981,23.38,16.41,6.12,18.03
26,5,1981,24.11,16.22,0,20.99
27,5,1981,23.87,15.14,0.48,20.71
28,5,1981,24.15,15.58,0,20.77
29,5,1981,24.11,15.58,0,20.29
30,5,1981,23.95,16.1,6.57,18.87
31,5,1981,23.85,15.94,6.15,19.85
1,6,1981,23.74,16.6,0.86,19.35
2,6,1981,23.95,16.06,0,18.99
3,6,1981,22.93,16.18,0,18.03
4,6,1981,22.96,16.14,0,18.23
5,6,1981,22.37,16.23,4.54,15.6
6,6,1981,22.81,16.08,6,18.08
7,6,1981,22.53,16.07,0,16.59
8,6,1981,22.96,16.1,0,16.07
9,6,1981,23.49,16.57,0,16.97
10,6,1981,22.99,16.09,0,16.72
11,6,1981,22.92,15.16,0,18.17
12,6,1981,22.62,15.98,0.6,15.94
13,6,1981,22.65,16.08,0,16.56
14,6,1981,23.04,15.2,0,19.09
15,6,1981,23,13.98,0,19.7
16,6,1981,23.09,15.12,3.52,18.34
17,6,1981,22.51,15.37,9.03,17.03
18,6,1981,23.45,16.26,0,17.96
19,6,1981,23.18,16.01,0,17.19
20,6,1981,22.67,16.66,0,17.03
21,6,1981,22.95,16.51,4.91,18.07
22,6,1981,22.89,15.45,2.29,17.68
23,6,1981,23.47,15.86,5.16,18.45
24,6,1981,23.62,15.7,10.21,17.63
25,6,1981,22.19,16.12,5.73,14.86
26,6,1981,22.33,16.09,6.71,17.91
27,6,1981,22.42,15.29,2.8,17.53
28,6,1981,21.61,15.39,0,14.95
29,6,1981,22.05,15.3,0,17.29
30,6,1981,22.4,15.17,19.87,16.24
1,7,1981,22.53,15.78,25.33,15.73
2,7,1981,21.31,16.28,1.14,15.96
3,7,1981,21.51,16.08,0,14.08
4,7,1981,22.34,15.8,0,16.17
