day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,17.48,7.25,0,19.74
2,1,1981,17.92,7.66,0,20.59
3,1,1981,17,7.7,0,19.56
4,1,1981,17.44,7.98,0,17.77
5,1,1981,17.51,7.68,0,21.42
6,1,1981,16.85,7.61,0,21.71
7,1,1981,16.73,7.13,0,22.38
8,1,1981,16.61,6.33,0,23.13
9,1,1981,16.18,6.36,0,22.42
10,1,1981,17.97,6.99,0,21.59
11,1,1981,18.46,7.48,0,19.85
12,1,1981,17.27,7.65,0,21.17
13,1,1981,17.47,7.45,0,20.67
14,1,1981,17.11,8.06,0,19.46
15,1,1981,17.1,8.01,0,21.09
16,1,1981,18.15,7.3,0,22.23
17,1,1981,18.66,7.74,0,22.37
18,1,1981,18.63,8.2,0,19.88
19,1,1981,18.05,8.08,0.21,19.83
20,1,1981,17.93,8.15,0.21,22.28
21,1,1981,18.9,7.84,0,22.16
22,1,1981,16.96,8.11,0,18.84
23,1,1981,18.69,7.97,0,22.95
24,1,1981,18.72,7.48,0,23.54
25,1,1981,18.83,7.12,0,23.83
26,1,1981,18.93,7.38,0,23.31
27,1,1981,18.16,7.8,0,22.87
28,1,1981,17.86,8.17,0,22.4
29,1,1981,16.6,8.56,0,20.95
30,1,1981,17.65,7.47,0,23.65
31,1,1981,16.92,6.79,0,24.13
1,2,1981,16.71,7.01,0,24.01
2,2,1981,17.3,6.91,0,23.96
3,2,1981,17.36,7.04,0,24.01
4,2,1981,17.3,7.1,0,23.81
5,2,1981,17.8,7.63,0,23.23
6,2,1981,18.95,7.5,0,24.32
7,2,1981,18.25,7.44,0,24.02
8,2,1981,19.18,7.77,0,23.49
9,2,1981,18.43,8.24,0,19.67
10,2,1981,16.83,8.36,0,18.27
11,2,1981,16.24,8.7,0,18.85
12,2,1981,17.85,8.75,0,22.95
13,2,1981,18.31,7.9,3.37,23.84
14,2,1981,18.17,7.91,0,24.39
15,2,1981,18.54,8.92,0,23.85
16,2,1981,19.37,7.78,0,24.67
17,2,1981,18.78,7.95,0,23.88
18,2,1981,18.51,9.31,2.53,22.19
19,2,1981,19.08,9.12,0,22.62
20,2,1981,19.62,8.8,0,23.05
21,2,1981,19.51,8.36,0,24.93
22,2,1981,19.74,8.34,0,25.22
23,2,1981,20.73,7.97,0,25.6
24,2,1981,21.48,8.17,0,25.78
25,2,1981,19.93,8.5,0,24.84
26,2,1981,19.97,8.23,0,25.36
27,2,1981,19.68,8.5,0,22.11
28,2,1981,18.68,9.12,0,21.53
1,3,1981,18.84,8.94,2.96,22.98
2,3,1981,17.01,8.75,3.48,19.69
3,3,1981,17.82,8.6,0,22.25
4,3,1981,16.57,9.49,0.07,20.98
5,3,1981,17.01,8.82,1.22,22.2
6,3,1981,18.48,9.44,0,24.11
7,3,1981,16.72,9.93,0,21.65
8,3,1981,17.19,9.89,0,20.52
9,3,1981,18.61,9.68,0,19.87
10,3,1981,18.57,9.47,6.46,21.64
11,3,1981,17.41,9.16,0,23.17
12,3,1981,17.73,9.62,0.19,19.64
13,3,1981,17.38,10.05,5.03,19.44
14,3,1981,16.45,9.46,4.59,20.03
15,3,1981,17.4,9.89,0,20.16
16,3,1981,19.31,9.52,3.58,23.18
17,3,1981,20.67,9.39,0,26.17
18,3,1981,20.71,9.24,0,24.26
19,3,1981,16.35,9.94,0.08,16.79
20,3,1981,18.7,9.37,0.3,22.03
21,3,1981,19.55,9.56,0,24.43
22,3,1981,18.63,9.51,0.51,22.18
23,3,1981,17.89,9.43,1.64,21.83
24,3,1981,18.45,9.52,2.81,21.98
25,3,1981,20.13,9.5,2.2,24.68
26,3,1981,17.31,9.91,6.12,19.91
27,3,1981,16.54,9.94,6.78,20.86
28,3,1981,15.73,10.15,5.27,17.27
29,3,1981,16.56,10.12,3.69,16.86
30,3,1981,16.24,10.15,0,16.57
31,3,1981,15.99,9.94,0,19.87
1,4,1981,16.29,9.81,0,21.67
2,4,1981,15.93,10.55,3.76,17.85
3,4,1981,16.96,10.31,0.13,20.83
4,4,1981,17.01,10.12,0,22.88
5,4,1981,17.12,10.09,0,21.37
6,4,1981,17.74,9.85,0,25.5
7,4,1981,17.93,9.73,0,24.19
8,4,1981,16.6,10.06,0,19.27
9,4,1981,17.1,9.81,0,21.04
10,4,1981,17.34,9.89,0,21.8
11,4,1981,17.23,9.97,0,23.12
12,4,1981,17.05,10.37,0,20.72
13,4,1981,17.45,9.87,0,22.64
14,4,1981,17.66,10.1,0,22.55
15,4,1981,17.99,10.32,0,21.8
16,4,1981,18.69,10.28,1.99,23.71
17,4,1981,17.89,10.49,4.2,22.22
18,4,1981,18.36,10.31,0,24.58
19,4,1981,17.32,9.96,0,24.65
20,4,1981,17.6,10.48,0,25.43
21,4,1981,18.15,9.99,0,25.27
22,4,1981,18.32,9.8,0,24.34
23,4,1981,16.56,10.25,1.67,19
24,4,1981,16.05,10.42,22.28,19.29
25,4,1981,17.2,9.67,0,26.03
26,4,1981,18.22,9.68,0,26.48
27,4,1981,18.78,9.75,0,27.67
28,4,1981,19.23,9.95,0,26.25
29,4,1981,20.05,9.99,0,26.65
30,4,1981,20.25,10.26,0,26.12
1,5,1981,20.12,10.18,0,25.14
2,5,1981,20.55,10.15,0,25.93
3,5,1981,20.32,10.46,0,24.39
4,5,1981,20.4,10.26,0,26.17
5,5,1981,20.83,10.37,0,27.24
6,5,1981,20.96,10.5,0,26.19
7,5,1981,20.47,10.62,0,24.21
8,5,1981,19.57,10.64,0,22.6
9,5,1981,20.01,10.68,0,25.88
10,5,1981,20.51,10.33,0,28.16
11,5,1981,20.85,10.16,0,27.65
12,5,1981,19.74,10.48,0,22.59
13,5,1981,20.33,10.79,1.68,22.35
14,5,1981,19.99,10.94,2.66,22.39
15,5,1981,21.07,10.75,0,27.69
16,5,1981,22.18,10.42,0,24.8
17,5,1981,21.08,10.78,0,23.52
18,5,1981,22.13,11.06,0,23.45
19,5,1981,21.77,10.95,0,23.38
20,5,1981,21.46,10.88,0,22.22
21,5,1981,21.71,10.82,0,22.63
22,5,1981,22.35,10.82,0,25.17
23,5,1981,22.84,10.45,0,27.01
24,5,1981,22.3,10.88,0,22.28
