day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.52,11.02,0,20.88
2,1,1981,25.89,11.29,0,21.53
3,1,1981,25.54,11.48,0,21.17
4,1,1981,25.43,12.05,0.11,19.39
5,1,1981,26.34,11.79,0.2,21.07
6,1,1981,26.25,11.72,0,22.24
7,1,1981,25.78,11.01,0,22.58
8,1,1981,25.59,9.5,0,23.37
9,1,1981,25.19,9.39,0,22.79
10,1,1981,25.85,10.38,0,22.28
11,1,1981,26.18,11.05,0,21.11
12,1,1981,26.44,11.58,0,21.93
13,1,1981,25.7,11.21,0,21.7
14,1,1981,25.93,12.13,0,21.11
15,1,1981,26.44,11.74,1.96,22.6
16,1,1981,26.72,11.1,0,22.86
17,1,1981,27.1,11.34,0,22.45
18,1,1981,26.87,12,0,21.14
19,1,1981,26.27,12.35,0.12,20.21
20,1,1981,27.17,12.39,0.57,22.72
21,1,1981,27.38,11.91,0,22.59
22,1,1981,26.23,12.29,0,20.4
23,1,1981,27.9,12.02,0,23.09
24,1,1981,27.83,11.34,0,23.77
25,1,1981,27.85,10.37,0,24.09
26,1,1981,28.11,10.77,0,23.83
27,1,1981,27.51,11.46,0,23.73
28,1,1981,27.62,12.39,0,23.74
29,1,1981,26.86,12.86,0,23.26
30,1,1981,27.38,11.26,0,23.98
31,1,1981,26.57,10.3,0,24.5
1,2,1981,26.35,10.12,0,24.41
2,2,1981,26.78,10.15,0,24.51
3,2,1981,27.01,10.67,0,24.55
4,2,1981,27.58,10.45,0,24.64
5,2,1981,27.75,11.04,0,23.78
6,2,1981,28.83,11.38,0,24.63
7,2,1981,27.99,11.08,0,24.18
8,2,1981,28.39,11.66,0,24.13
9,2,1981,26.79,12.62,0,20.88
10,2,1981,25.3,12.88,0,19.54
11,2,1981,25.79,12.59,0,20.87
12,2,1981,26.46,12.67,0,24.06
13,2,1981,27.43,11.77,1.93,24.94
14,2,1981,27.61,11.55,0,25.47
15,2,1981,27.05,12.64,0,24.86
16,2,1981,27.77,11.99,0,24.99
17,2,1981,28.45,11.68,0,24.75
18,2,1981,28.83,13.8,2.54,23.61
19,2,1981,29.47,13.05,0,23.95
20,2,1981,29.77,12.89,0,23.92
21,2,1981,30.52,12.58,0,25.27
22,2,1981,30.89,12.19,0,25.39
23,2,1981,31.23,11.73,0,25.67
24,2,1981,31.72,11.74,0,26.04
25,2,1981,30.89,12.68,0,25.56
26,2,1981,30.49,12.33,0,25.76
27,2,1981,29.41,12.52,0.21,23.35
28,2,1981,28.53,14,0.15,20.84
1,3,1981,29.21,12.72,0.05,23.22
2,3,1981,27.64,13,0,21.04
3,3,1981,27.89,12.16,0,23.9
4,3,1981,27.94,13.59,1.83,23.27
5,3,1981,28.19,13.23,0,23.56
6,3,1981,28.04,13.87,0,24.52
7,3,1981,28.8,14.57,1.81,23.51
8,3,1981,29.11,14.56,0,22.72
9,3,1981,29.07,14.86,0,21.74
10,3,1981,29.07,14,1.5,22.53
11,3,1981,28.21,13.44,3.39,23.87
12,3,1981,28.37,13.92,1.36,21.46
13,3,1981,27.93,14.56,0.84,21.19
14,3,1981,27.36,13.84,0.79,21.15
15,3,1981,27.33,14.76,0,21.6
16,3,1981,29.38,14.22,0,24.88
17,3,1981,30.23,13.77,0,26.78
18,3,1981,29.88,13.37,1.25,25.16
19,3,1981,27.22,14.61,0,20.51
20,3,1981,29.8,13.7,0,23.44
21,3,1981,29.51,14.42,0,24.13
22,3,1981,29.66,14.07,0,23.52
23,3,1981,28.54,14.34,0,22.85
24,3,1981,29.69,13.93,0.63,24.45
25,3,1981,30.12,13.98,1.74,24.61
26,3,1981,27.46,15.21,7.93,19.78
27,3,1981,27.34,15.35,4.94,22.54
28,3,1981,27.37,14.53,0.57,21.52
29,3,1981,27.32,14.63,0.22,20.79
30,3,1981,26.35,14.62,0,19.13
31,3,1981,27.4,14.53,0,21.76
1,4,1981,28.2,14.27,0,24.46
2,4,1981,26.68,15.28,0,21.18
3,4,1981,27.77,14.97,0,23.25
4,4,1981,28.93,14.84,2.5,23.57
5,4,1981,28.31,15.05,0,21.59
