day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.81,16.88,0,20.84
2,1,1981,32.25,17.56,0,20.01
3,1,1981,33.07,17.9,0,20.07
4,1,1981,32.21,18.63,0,18.84
5,1,1981,32.41,17.51,0,19.07
6,1,1981,31.31,18.37,0,17.97
7,1,1981,30.21,18.54,0,18.1
8,1,1981,31.72,17.83,0,20.63
9,1,1981,33.36,18.44,0,21.73
10,1,1981,33.69,17.91,0,21.67
11,1,1981,33.2,17.63,0,21.48
12,1,1981,32.84,17.56,0,20.85
13,1,1981,32.8,17.96,0,21.28
14,1,1981,32.37,17.49,0,21.2
15,1,1981,33.16,17.26,0,21.78
16,1,1981,33.26,18.22,0,21.14
17,1,1981,33.39,18.22,0,19.6
18,1,1981,31.82,18.53,0,19.99
19,1,1981,31.84,18.24,0,19.66
20,1,1981,33.4,18.59,0,20.56
21,1,1981,30.65,18.18,0,19.27
22,1,1981,31.82,18.98,0,17.82
23,1,1981,32.93,20.42,0,18.94
24,1,1981,32.97,19.76,0,19.88
25,1,1981,34.32,19.74,0,22.36
26,1,1981,33.35,18.05,0,22.15
27,1,1981,31.74,17.59,0,21.2
28,1,1981,31.44,17.71,0,21.03
29,1,1981,31.44,17.99,1.16,19.96
30,1,1981,32.32,19.57,0,19.73
31,1,1981,33,18.27,0,21.36
1,2,1981,32.98,16.77,0,23.04
2,2,1981,33.95,17.04,0,23.17
3,2,1981,33.99,17.05,0,23.36
4,2,1981,33.28,16.69,0,23.23
5,2,1981,32.92,16.41,0,23.07
6,2,1981,34.05,17.19,0,23.01
7,2,1981,34.03,18.23,0,21.34
8,2,1981,32.96,19.77,0,19.98
9,2,1981,31.31,19.49,0,18.05
10,2,1981,28.17,17.69,0,21.16
11,2,1981,30.18,14.62,0,23.14
12,2,1981,31.02,14.76,0,23.73
13,2,1981,31.7,14.97,0,24.24
14,2,1981,32.5,14.96,0,24.62
15,2,1981,32.67,15.62,0,24.3
16,2,1981,33.83,15.56,0,24.45
17,2,1981,33.99,16.33,0,24.24
18,2,1981,35.07,18.14,0,24.14
19,2,1981,35.62,18.02,0,24.09
20,2,1981,36.89,18.8,0,24.18
21,2,1981,37.69,19.21,0,24.15
22,2,1981,37.59,20.4,0,23.98
23,2,1981,37.59,21.04,0,22.97
24,2,1981,37.39,21.37,0,22.86
25,2,1981,37.53,20.68,0,23.26
26,2,1981,36.24,20.19,0,23.32
27,2,1981,35.24,21.31,0,20.72
28,2,1981,35.5,20.64,0,23.04
1,3,1981,36.63,19.72,0,24.52
2,3,1981,36.25,19.53,0,24.55
3,3,1981,34.76,18.37,0,25.18
4,3,1981,34.55,18.06,0,25.41
5,3,1981,34.27,18.11,0,25.32
6,3,1981,34.55,17.69,0,25.45
7,3,1981,35.44,17.93,0,25.42
8,3,1981,35.8,19.39,0,24.92
9,3,1981,35.55,22.07,0,22.84
10,3,1981,36.82,22.13,0,24.85
11,3,1981,36.78,21.98,0,24.11
12,3,1981,36.42,23.2,0,23.45
13,3,1981,34.57,23.86,0,22.26
14,3,1981,34.62,20.83,0,23.2
15,3,1981,34.55,19.75,0,25.62
16,3,1981,35.1,18.93,0,26.15
17,3,1981,35.19,19.05,0,26.04
18,3,1981,35.85,19.61,0,25.7
19,3,1981,35.76,20.77,0,24.15
20,3,1981,34.55,23.26,0,23.25
21,3,1981,34.98,22.56,0,23.67
22,3,1981,35.03,22.96,0,23.21
23,3,1981,36.17,21.37,0,24.83
24,3,1981,36.84,21.7,0,26.47
25,3,1981,33.37,22.41,2.36,20.15
26,3,1981,29.39,20.23,4.47,17.21
27,3,1981,31.65,20.52,0,23.67
28,3,1981,33.12,17.33,0,26.46
29,3,1981,33.74,18.44,0,26.22
30,3,1981,34.69,18.4,0,25.19
31,3,1981,34.54,18.84,0,26.24
