day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.7,15.61,0,20.69
2,1,1981,28.64,16.78,0,19.7
3,1,1981,28.71,17.4,0,19.84
4,1,1981,29.03,18.48,0,19.46
5,1,1981,28.69,16.41,0,18.75
6,1,1981,28.17,16.4,0,18.01
7,1,1981,26.99,17.19,0,18.09
8,1,1981,28.82,16.56,0,20.64
9,1,1981,29.7,16.21,0,21.56
10,1,1981,29.86,17.85,0,21.47
11,1,1981,29.72,18.9,0,21.21
12,1,1981,28.94,16.67,0,20.79
13,1,1981,28.88,15.74,0,20.99
14,1,1981,29.14,15.81,0,20.93
15,1,1981,29.65,16.68,0,21.53
16,1,1981,29.96,17.66,0,21.09
17,1,1981,29.7,19.21,0,19.41
18,1,1981,29.36,17.9,0,19.66
19,1,1981,28.64,17.75,0,19.25
20,1,1981,29.43,17.05,0,20.2
21,1,1981,28.15,17.61,0,18.74
22,1,1981,28.05,18.08,0,17.55
23,1,1981,29.54,18.76,0,18.59
24,1,1981,29.39,18.67,0,19.53
25,1,1981,31.22,18.52,0,22.05
26,1,1981,30.93,18.45,0,22.09
27,1,1981,29.04,16.74,0,20.65
28,1,1981,29.33,15.89,0,20.66
29,1,1981,28.24,16.43,0,19.53
30,1,1981,29.37,17.8,0,19.51
31,1,1981,30.04,16.54,0,21.36
1,2,1981,29.94,16.82,0,22.71
2,2,1981,30.25,15.74,0,22.85
3,2,1981,29.89,15.58,0,22.97
4,2,1981,30.48,15.92,0,22.82
5,2,1981,30.62,17.14,0,22.74
6,2,1981,31.06,16.62,0,22.6
7,2,1981,30.91,17.75,0,20.97
8,2,1981,29.59,18.65,0,19.74
9,2,1981,27.54,17.24,0,17.31
10,2,1981,24.18,15.38,0,19.58
11,2,1981,26.58,13.8,0,22.71
12,2,1981,27.81,13.31,0,23.32
13,2,1981,28.29,12.97,0,23.8
14,2,1981,29.11,13.14,0,24.26
15,2,1981,29.56,15.28,0,23.94
16,2,1981,30.25,15.65,0,23.97
17,2,1981,30.48,16.71,0,23.78
18,2,1981,31.46,17.09,0,23.78
19,2,1981,31.99,18.13,0,23.68
20,2,1981,33.16,18.83,0,23.8
21,2,1981,33.41,18.97,0,23.73
22,2,1981,33.91,19.6,0,23.68
23,2,1981,33.94,20.21,0,22.77
24,2,1981,33.22,21.76,0,22.42
25,2,1981,32.75,19.45,0,22.73
26,2,1981,32.69,18.8,0,23.27
27,2,1981,31.76,20.53,0,20.27
28,2,1981,31.61,20.15,0,22.64
1,3,1981,32.19,20.17,0,24.01
2,3,1981,31.89,19.32,0,24.09
3,3,1981,31.03,16.9,0,24.83
4,3,1981,31.62,17.8,0,25.08
5,3,1981,31.35,17.11,0,24.92
6,3,1981,31.22,18.61,0,25.1
7,3,1981,31.84,17.82,0,25.09
8,3,1981,32.85,19.11,0,24.51
9,3,1981,32.99,20.75,0,22.18
10,3,1981,32.07,21.36,0,24.29
11,3,1981,32.98,19.74,0,24.04
12,3,1981,33.55,20.22,0,22.89
13,3,1981,31.65,21.42,0,21.31
14,3,1981,31.45,19.24,0,22.32
15,3,1981,31.55,18.61,0,25.19
16,3,1981,32.05,17.8,0,25.76
17,3,1981,32.19,18.64,0,25.68
18,3,1981,32.97,19.6,0,25.34
19,3,1981,32.63,20.51,0,23.92
20,3,1981,32.13,20.3,0,23.57
21,3,1981,31.99,20.18,0,23.18
22,3,1981,31.89,20.09,0,23.06
23,3,1981,32.71,20.22,0,24.46
24,3,1981,33.62,20.53,0,26.31
25,3,1981,30.15,20.24,2.88,20.83
26,3,1981,25.9,18.46,0,17.93
27,3,1981,28.49,16.47,0,23.54
28,3,1981,29.32,17.34,0,26.04
29,3,1981,30.61,18.2,0,26.1
30,3,1981,30.94,17.77,4.75,25.92
31,3,1981,31.25,19.81,0,26.03
1,4,1981,31.34,18.13,0,26.78
2,4,1981,32.03,18.53,0,26.92
3,4,1981,32.84,19.24,0,26.92
4,4,1981,33.16,19.86,0,26.78
5,4,1981,32.98,20.23,0,24.69
6,4,1981,32.67,20.22,9.38,23.33
7,4,1981,31.48,20.9,0,20.28
8,4,1981,31.87,20.63,0,22.39
9,4,1981,32.05,20.95,0,23.8
10,4,1981,33.4,20.18,0,25.89
