day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.72,9.87,0,20.9
2,1,1981,21.32,10.84,0,21.03
3,1,1981,21.44,11.45,0,20.89
4,1,1981,19.55,11.76,0,18.8
5,1,1981,19.08,11.11,0,19.02
6,1,1981,19.32,10.97,0,19.88
7,1,1981,19.25,10.08,0,21.75
8,1,1981,19.69,9.9,0,22.32
9,1,1981,20.04,9.95,0,21.95
10,1,1981,21.01,10.27,0,21.71
11,1,1981,21.31,10.95,0,21.2
12,1,1981,18.94,11.26,0,21.24
13,1,1981,17.77,10.3,0,15.78
14,1,1981,17.46,10.21,2.57,15.71
15,1,1981,18.55,10.69,2.57,17.87
16,1,1981,20.63,9.92,0,22.17
17,1,1981,20.59,10.22,0,21.76
18,1,1981,20.77,10.96,0,21.04
19,1,1981,19.89,11.1,0,20.08
20,1,1981,20.57,11.52,0,21.5
21,1,1981,20.3,11.55,0,22.12
22,1,1981,20.47,11.26,0,21
23,1,1981,22.01,11.38,0,22.63
24,1,1981,22.19,11.62,0,22.94
25,1,1981,21.63,11.68,0,23.19
26,1,1981,21,11.42,0,22.97
27,1,1981,19.28,11.21,0,20.43
28,1,1981,17.89,10.72,0,14.95
29,1,1981,19.26,10.83,0,21.05
30,1,1981,20.44,10.51,0,22.94
31,1,1981,19.5,10.22,0,23.12
1,2,1981,18.7,9.62,0,20.42
2,2,1981,18.9,10.12,0,21.07
3,2,1981,17.59,10.44,0,17.93
4,2,1981,17.55,9.43,0,18.74
5,2,1981,20.62,9.88,0,22.97
6,2,1981,20.55,10.7,0,23.38
7,2,1981,21.08,11.01,0,23.52
8,2,1981,21.76,11.02,0,23.7
9,2,1981,20.58,11.47,0,23.14
10,2,1981,18.43,11.16,0.85,16.22
11,2,1981,14.33,9.35,0,13.9
12,2,1981,14.88,9.36,0,17.75
13,2,1981,14.94,9.6,0,16.36
14,2,1981,15.13,9.6,1.47,15.46
15,2,1981,17.38,10.48,0,17.36
16,2,1981,19.28,10.78,0,22.71
17,2,1981,18.62,11.32,0,18.81
18,2,1981,17.81,11.8,0,17.02
