day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.87,15.85,0,21.12
2,1,1981,31.22,16.26,0,21.35
3,1,1981,30.93,16.64,0,20.87
4,1,1981,30.4,17.15,0,19.85
5,1,1981,30.92,16.72,0,20.16
6,1,1981,30.77,17.43,0,19.92
7,1,1981,30.1,17.36,0,20.42
8,1,1981,31.05,15.47,0,22.11
9,1,1981,31.66,14.24,0,22.15
10,1,1981,31.82,14.83,0,22.02
11,1,1981,31.67,15.28,0,21.88
12,1,1981,31.11,16.81,0,21.2
13,1,1981,30.79,16.28,0,21.32
14,1,1981,31.17,15.92,0,21.57
15,1,1981,31.68,15.39,0,21.25
16,1,1981,31.58,16.12,0,21.32
17,1,1981,31.32,18.13,0,20.31
18,1,1981,31.52,17.84,0.7,20
19,1,1981,31.51,17.31,4.9,20.39
20,1,1981,31.55,16.96,1.76,20.62
21,1,1981,31.51,17.7,0,21.05
22,1,1981,31.1,17.89,0,19.75
23,1,1981,31.61,18.06,0,20.63
24,1,1981,31.64,16.93,0,21.47
25,1,1981,33.11,15.58,0,22.64
26,1,1981,33.28,15.7,0,22.7
27,1,1981,31.57,16.77,4.52,21.64
28,1,1981,32.22,16.63,0,21.92
29,1,1981,30.82,17.01,0,20.15
30,1,1981,32.11,17.4,0,21.78
31,1,1981,32.64,17.45,0.12,22.93
1,2,1981,32.13,14.46,0,23.31
2,2,1981,32.42,14.82,0,23.07
3,2,1981,32.05,14.79,0,23.42
4,2,1981,32.72,14.86,0,23.26
5,2,1981,33.16,15.16,0,22.9
6,2,1981,33.29,16.09,0,23.01
7,2,1981,32.71,16.4,0,22.43
8,2,1981,33.45,17.52,0,22.85
9,2,1981,30.81,18.01,1.02,18.87
10,2,1981,26.77,17.76,0,19.42
11,2,1981,29.31,15.65,0,22.94
12,2,1981,30.87,13.83,0,23.54
13,2,1981,31.63,13.65,0,24.02
14,2,1981,31.87,12.93,0,24.45
15,2,1981,32.42,13.5,0,24.06
16,2,1981,32.84,14.76,0,24.35
17,2,1981,32.85,14.82,0,24.13
18,2,1981,33.53,15.29,0,24.05
19,2,1981,34.1,16.03,0,23.85
20,2,1981,34.91,16.42,0,23.72
21,2,1981,35.69,17.35,0,23.77
22,2,1981,36.12,16.97,0,24.23
23,2,1981,36.27,17.15,0,23.99
24,2,1981,35.8,17.86,0,23.45
