day,month,year,t_max,t_min,prec,sol_rad
1,6,2023,26.16875,19.03675,4.925,18.67425
2,6,2023,26.2825,18.9855,3.075,18.94075
3,6,2023,26.12175,18.94675,6.16,19.0405
4,6,2023,26.234750000000002,18.93075,1.085,19.381
5,6,2023,25.99625,18.87675,6.529999999999999,18.894
6,6,2023,26.00125,18.8325,6.300000000000001,19.0825
7,6,2023,25.9925,18.81475,3.8,19.1305
8,6,2023,25.9785,18.73825,6.0600000000000005,19.25775
9,6,2023,25.561,18.673,6.16,18.26975
10,6,2023,25.76575,18.66275,4.3149999999999995,18.9625
11,6,2023,25.584,18.68575,6.575,18.6075
12,6,2023,25.69875,18.64875,4.925000000000001,18.98275
13,6,2023,25.47025,18.61525,7.81,18.373
14,6,2023,25.3675,18.5995,2.6399999999999997,18.03125
15,6,2023,25.5775,18.44525,2.54,18.90175
16,6,2023,25.47825,18.49375,2.38,18.72675
17,6,2023,25.31075,18.45325,6.449999999999999,18.30025
18,6,2023,25.061,18.442,3.945,18.155
19,6,2023,25.14925,18.324,2.5,18.491
20,6,2023,25.287,18.31025,3.0250000000000004,18.726
21,6,2023,25.0305,18.3015,9.85,18.10525
22,6,2023,25.02925,18.268,3.3449999999999998,18.274
23,6,2023,25.086,18.14075,0.8049999999999999,18.46575
24,6,2023,24.9065,18.15475,6.84,18.204
25,6,2023,24.68025,18.12675,2.815,17.896
26,6,2023,24.9855,18.04525,1.245,18.59575
27,6,2023,24.766750000000002,18.0255,2.275,18.24925
28,6,2023,24.49975,18.04575,6.055,17.74525
29,6,2023,24.5075,17.87675,1.125,18.059
30,6,2023,24.33925,17.82475,1.185,17.7875
1,7,2023,23.64,18.24,8.96,17.17
2,7,2023,25.12,18.09,8.8,17.8
3,7,2023,25.94,18.46,0.26,18.21
4,7,2023,25.65,17.69,8.07,19.74
5,7,2023,24.8,18.03,12.92,17.69
6,7,2023,25.84,18.22,0,20.18
7,7,2023,26.32,17.91,0,20.1
8,7,2023,26.06,18.66,0,18.97
9,7,2023,27.12,19,0,20.56
10,7,2023,25.98,19.04,23.74,19.64
11,7,2023,25.25,18.73,8.75,18.78
12,7,2023,25.76,18.57,15.55,18.12
13,7,2023,25.39,18.1,2.72,18.01
14,7,2023,25.07,18.25,4.89,17.77
15,7,2023,23.8,17.78,0,17.26
16,7,2023,25.72,17.83,0,20.09
17,7,2023,25.08,18.03,0.34,19.56
18,7,2023,25.53,18.34,7.21,19.11
19,7,2023,23.83,18.2,13.75,18.14
20,7,2023,24.63,17.73,0,19.11
21,7,2023,22.39,17.45,0,13.24
22,7,2023,25.04,17.29,0,19.2
23,7,2023,24.58,17.63,6.49,18.8
24,7,2023,23.47,17.05,0,16.36
25,7,2023,25.45,16.67,2.73,21.5
26,7,2023,25.55,17.9,0,20.99
27,7,2023,25.15,17.72,7.47,19.88
28,7,2023,26.22,18.01,0.81,21.74
29,7,2023,23.43,17.59,15.5,18.84
30,7,2023,23.32,17.45,22.42,16.75
31,7,2023,23.91,16.97,0,19.19
1,8,2023,23.88,17.44,0,15.59
2,8,2023,25.47,17.64,0,19.06
3,8,2023,25.09,17.23,0.71,18.58
4,8,2023,24.72,18.13,16.35,16.59
5,8,2023,21.51,17.78,27.07,11.22
6,8,2023,23.11,17.68,0.83,14.56
7,8,2023,23.46,17.73,1.49,13.8
8,8,2023,25.15,17.12,15.86,20.05
9,8,2023,24.03,17.79,9.58,18.77
10,8,2023,25.47,17.06,11.47,21.29
11,8,2023,25.27,17.83,0,19.55
12,8,2023,26.18,17.98,17.24,21.64
13,8,2023,25.62,18.38,6.36,20.26
14,8,2023,25.45,17.64,10.94,19.46
15,8,2023,24.62,17.71,0.26,18.42
16,8,2023,26.68,17.52,9.74,21.51
17,8,2023,24.52,17.88,12.78,15.84
18,8,2023,24.01,17.24,3.06,19.01
19,8,2023,24.06,16.7,0,16.36
20,8,2023,25.51,17.55,6.97,20.44
21,8,2023,26.51,18.37,0,21.26
22,8,2023,25.2,18.57,2.82,20.16
23,8,2023,26.16,18.2,11.43,20.48
24,8,2023,24.92,17.99,13.94,19.38
25,8,2023,22.68,17.93,16.3,14.55
26,8,2023,24.15,17.81,12.17,15.34
27,8,2023,24.01,18.08,6.45,13.63
28,8,2023,25.47,18.12,0.4,17.87
29,8,2023,25.1,17.68,8.31,19.22
